chi,dp_norm,coh,stab,rad,size,ratio
0.142857,0.298444,4.200000,0.895511,1.618182,11.000000,0.807692
0.250000,0.080466,3.454545,3.183467,1.850000,25.000000,0.775510
0.166667,0.038820,4.000000,1.388492,1.794118,17.000000,0.800000
0.166667,0.915653,5.000000,0.743828,1.464286,8.000000,0.833333
0.166667,0.697874,1.600000,2.502621,1.466667,6.000000,0.615385
0.111111,0.324298,1.439024,4.524266,1.960145,24.000000,0.590000
0.058824,0.442344,1.514286,3.943234,1.943723,22.000000,0.602273
0.083333,0.252309,2.187500,4.159482,1.515152,12.000000,0.686275
0.083333,0.860088,2.054054,6.854618,1.858462,26.000000,0.672566
0.200000,0.086584,2.937500,5.461827,1.805263,20.000000,0.746032
0.200000,0.377423,2.333333,6.311693,1.300000,5.000000,0.700000
0.142857,0.294648,2.000000,5.483170,1.428571,7.000000,0.666667
0.142857,0.148161,1.718750,7.445047,1.691176,17.000000,0.632184
0.111111,0.181961,2.227273,7.202047,1.861905,21.000000,0.690141
0.111111,0.814283,4.250000,6.038856,1.611111,9.000000,0.809524
0.111111,0.155581,2.115385,9.646959,1.710526,20.000000,0.679012
0.071429,0.094602,2.333333,8.880709,1.650000,16.000000,0.700000
0.111111,0.733351,1.916667,3.263583,1.388889,9.000000,0.657143
0.200000,0.309316,1.595745,7.537929,1.703557,23.000000,0.614754
0.157895,0.455803,3.333333,2.623597,1.725275,14.000000,0.769231
0.066667,0.599368,1.292308,9.002604,1.806154,26.000000,0.563758
0.142857,0.737885,1.090909,10.271130,1.476190,7.000000,0.521739
0.142857,0.211700,1.733333,14.456248,1.894872,40.000000,0.634146
0.111111,0.338197,2.173913,8.696614,1.673203,18.000000,0.684932
0.100000,0.634299,3.333333,2.623597,1.725275,14.000000,0.769231
0.071429,0.469966,1.571429,8.317911,1.549451,14.000000,0.611111
0.083333,0.044586,2.108696,15.582552,1.975379,33.000000,0.678322
0.083333,0.062500,2.888889,9.944742,1.810277,23.000000,0.742857
0.100000,0.132781,1.777778,13.512849,1.722944,22.000000,0.640000
0.100000,0.338212,2.888889,9.441174,1.618182,11.000000,0.742857
0.083333,0.057429,1.848485,16.644562,1.709524,21.000000,0.648936
0.071429,0.186394,1.906250,14.538490,1.709524,21.000000,0.655914
0.071429,0.202050,1.571429,8.317911,1.549451,14.000000,0.611111
0.076923,0.033432,2.821429,11.427651,1.855072,24.000000,0.738318
0.076923,0.224066,2.104167,15.897607,1.969697,34.000000,0.677852
0.076923,0.228029,1.541667,6.338669,1.647619,15.000000,0.606557
0.100000,0.047206,2.166667,11.127288,1.618182,11.000000,0.684211
0.100000,0.291575,2.518519,10.108867,1.780952,21.000000,0.715789
0.100000,0.375651,3.571429,9.128249,1.488889,10.000000,0.781250
0.166667,0.957371,1.090909,10.271130,1.476190,7.000000,0.521739
0.166667,0.159374,2.150000,13.029190,1.891626,29.000000,0.682540
0.090909,1.000000,1.571429,6.692670,1.600000,11.000000,0.611111
0.083333,0.264105,3.368421,9.938736,1.814286,21.000000,0.771084
0.100000,0.048475,2.104167,15.200549,1.969697,34.000000,0.677852
0.200000,0.713145,1.703704,9.779051,1.609524,15.000000,0.630137
0.035714,0.182893,3.730769,11.707620,1.878307,28.000000,0.788618
0.035714,0.221566,2.485714,12.699112,2.254032,32.000000,0.713115
0.111111,0.319714,2.333333,14.304409,2.331092,35.000000,0.700000
0.111111,0.093439,2.333333,14.304409,2.331092,35.000000,0.700000
0.068966,0.249938,2.515152,7.718855,2.247312,31.000000,0.715517
0.068966,0.103160,2.944444,12.659851,1.884236,29.000000,0.746479
0.068966,0.923434,2.515152,7.718855,2.247312,31.000000,0.715517
0.068966,0.103160,2.944444,12.659851,1.884236,29.000000,0.746479
0.111111,0.744416,2.333333,14.304409,2.331092,35.000000,0.700000
0.035714,0.469262,2.485714,12.699112,2.254032,32.000000,0.713115
0.035714,0.182893,3.730769,11.707620,1.878307,28.000000,0.788618
0.035714,0.182893,3.730769,11.707620,1.878307,28.000000,0.788618
0.035714,0.833231,2.485714,12.699112,2.254032,32.000000,0.713115
0.076923,0.203153,2.866667,12.463124,1.843333,25.000000,0.741379
0.115385,0.255369,2.237288,15.572022,2.033223,43.000000,0.691099
0.115385,0.307119,2.420000,15.292706,2.019231,40.000000,0.707602
0.115385,0.273993,2.367347,14.969316,2.014845,39.000000,0.703030
0.166667,0.062500,2.000000,7.488714,1.466667,6.000000,0.666667
0.166667,0.332597,1.600000,19.833395,1.466667,6.000000,0.615385
0.166667,0.062500,2.000000,7.488714,1.466667,6.000000,0.666667
0.166667,0.287359,1.600000,19.833395,1.466667,6.000000,0.615385
0.032258,0.837666,2.680851,15.197537,1.910985,33.000000,0.728324
0.032258,0.209589,3.114286,13.782435,1.901075,31.000000,0.756944
0.125000,0.849970,2.723404,15.359728,1.934046,34.000000,0.731429
0.125000,0.115897,2.545455,13.011417,1.545455,11.000000,0.717949
0.100000,0.790213,6.750000,11.312200,1.444444,10.000000,0.870968
0.125000,0.239604,3.400000,12.749480,1.910345,30.000000,0.772727
0.066667,0.127508,3.046512,15.211033,1.900178,34.000000,0.752874
0.071429,0.492243,1.391304,8.999824,1.736264,14.000000,0.581818
