chi,dp_norm,coh,stab,rad,size,ratio
0.027027,0.291644,3.351351,17.041315,2.223724,37.000000,0.770186
0.035714,0.112184,4.545455,13.736100,1.923280,28.000000,0.819672
0.035714,1.000000,3.351351,17.041315,2.223724,37.000000,0.770186
0.027027,0.006188,2.311927,22.561814,2.146483,62.000000,0.698061
0.027027,0.291644,3.351351,17.041315,2.223724,37.000000,0.770186
0.027027,0.007514,2.311927,22.561814,2.146483,62.000000,0.698061
0.027027,1.000000,3.351351,17.041315,2.223724,37.000000,0.770186
0.035714,0.112184,4.545455,13.736100,1.923280,28.000000,0.819672
0.035714,0.291644,3.351351,17.041315,2.223724,37.000000,0.770186
0.043478,0.022879,2.306306,23.008936,2.151562,63.000000,0.697548
0.043478,0.070856,4.166667,14.428412,1.923280,28.000000,0.806452
0.071429,0.049505,6.833333,16.265508,1.825000,16.000000,0.872340
0.071429,0.400122,2.307692,14.071439,1.802198,14.000000,0.697674
0.043478,0.017929,2.306306,23.008936,2.151562,63.000000,0.697548
0.071429,0.680088,1.400000,15.401643,2.019231,40.000000,0.583333
0.071429,0.400122,2.307692,14.071439,1.802198,14.000000,0.697674
0.076923,0.079739,3.727273,15.788182,1.474359,13.000000,0.788462
0.076923,0.159821,3.727273,15.788182,1.474359,13.000000,0.788462
0.034483,0.105929,2.086022,12.888704,2.281567,53.000000,0.675958
0.034483,0.924195,3.923077,14.582608,1.970443,29.000000,0.796875
0.034483,1.000000,2.086022,12.888704,2.281567,53.000000,0.675958
0.034483,0.924195,3.923077,14.582608,1.970443,29.000000,0.796875
0.071429,0.451450,2.482143,22.909055,2.183055,68.000000,0.712821
0.071429,0.155980,1.000000,16.869504,1.714286,14.000000,0.500000
0.100000,0.084358,2.022222,19.215371,2.176471,52.000000,0.669118
0.100000,0.011867,4.500000,12.771174,1.600000,10.000000,0.818182
0.166667,0.402076,2.364407,23.724192,2.182616,68.000000,0.702771
0.071429,0.155980,1.000000,16.869504,1.714286,14.000000,0.500000
0.071429,0.448855,2.482143,22.909055,2.183055,68.000000,0.712821
0.100000,0.011867,4.500000,12.771174,1.600000,10.000000,0.818182
0.100000,0.101221,2.022222,19.215371,2.176471,52.000000,0.669118
0.166667,0.403144,2.364407,23.724192,2.182616,68.000000,0.702771
0.200000,0.155980,1.000000,16.869504,1.714286,14.000000,0.500000
0.200000,0.071429,2.333333,10.751736,1.300000,5.000000,0.700000
0.250000,1.000000,2.086022,12.888704,2.281567,53.000000,0.675958
0.250000,0.284052,2.086022,12.888704,2.281567,53.000000,0.675958
0.100000,0.259506,3.666667,16.479695,1.637363,14.000000,0.785714
0.142857,0.044441,1.761905,15.708751,1.691667,16.000000,0.637931
0.103448,0.033428,1.888889,17.530957,2.188571,50.000000,0.653846
0.250000,1.000000,1.833333,19.092288,2.188571,50.000000,0.647059
0.055556,0.008931,1.545455,13.093915,1.921569,18.000000,0.607143
0.055556,0.876047,2.227273,24.395451,1.732026,18.000000,0.690141
0.066667,0.443170,6.833333,18.608574,1.825000,16.000000,0.872340
0.066667,0.055974,2.352941,13.424522,1.921569,18.000000,0.701754
0.062500,0.195436,2.096154,10.331011,1.847312,31.000000,0.677019
0.103448,1.000000,1.888889,17.530957,2.188571,50.000000,0.653846
0.083333,1.000000,1.803571,19.527651,2.256566,55.000000,0.643312
0.083333,0.406969,2.700000,12.071402,1.651515,12.000000,0.729730
0.071429,0.660617,1.500000,18.191050,1.560440,14.000000,0.600000
0.071429,0.269084,2.018868,7.911341,1.736453,29.000000,0.668750
0.071429,0.707871,1.400000,18.932703,1.560440,14.000000,0.583333
0.071429,0.876047,2.227273,24.395451,1.732026,18.000000,0.690141
0.071429,0.707871,1.400000,18.932703,1.560440,14.000000,0.583333
0.071429,0.743961,2.227273,24.395451,1.732026,18.000000,0.690141
0.250000,0.077225,1.833333,19.092288,2.188571,50.000000,0.647059
0.125000,0.977763,4.000000,16.089698,1.691176,17.000000,0.800000
0.125000,0.497872,3.923077,14.582608,1.970443,29.000000,0.796875
0.083333,0.112120,1.803571,19.527651,2.256566,55.000000,0.643312
0.083333,0.406969,2.700000,12.071402,1.651515,12.000000,0.729730
0.055556,0.008931,1.545455,13.093915,1.921569,18.000000,0.607143
0.055556,0.743961,2.227273,24.395451,1.732026,18.000000,0.690141
0.125000,0.497872,3.923077,14.582608,1.970443,29.000000,0.796875
0.125000,0.924053,4.000000,16.089698,1.691176,17.000000,0.800000
0.166667,0.338922,2.047619,5.865924,1.836601,18.000000,0.671875
0.125000,0.361422,3.666667,17.981561,1.214286,8.000000,0.785714
0.125000,0.102692,1.000000,16.869504,1.714286,14.000000,0.500000
0.200000,0.467577,1.222222,21.913122,1.545455,12.000000,0.550000
0.071429,0.576290,2.277778,21.595553,1.804435,32.000000,0.694915
0.071429,0.198122,2.200000,15.872795,1.703297,14.000000,0.687500
0.071429,0.370026,2.277778,21.595553,1.804435,32.000000,0.694915
0.071429,0.198122,2.200000,15.872795,1.703297,14.000000,0.687500
0.142857,0.619941,1.142857,19.069467,1.675000,16.000000,0.533333
0.142857,0.342354,4.000000,13.106717,1.476190,7.000000,0.800000
0.052632,0.126271,2.400000,16.575500,1.719298,19.000000,0.705882
0.052632,0.069923,4.615385,19.792271,1.801170,19.000000,0.821918
