thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,theta,stability_bin,pre_E_total,post_E_total
2,-54.775031,0.000000,0.000000,0.000000,54.775031,0.000000,65.160000,0.000000,21.448692,0.000000,10.724346,0.000000,0.250000,36.000000,0.000000,10.000000,0.525389,0.000000
2,-297.382716,0.000000,-1440.000000,0.000000,297.382716,1440.000000,29.738272,144.000000,37.190790,10.480066,18.595395,5.240033,0.200000,17.000000,0.000000,15.000000,0.780672,0.000000
2,-48.422880,0.000000,-2764.800000,0.000000,52.989257,2764.800000,173.160000,276.480000,23.984234,19.305463,11.992117,9.652731,0.142857,36.000000,0.000000,10.000000,0.577302,0.000000
2,-2257.600000,0.000000,-4204.800000,0.000000,2257.600000,4204.800000,225.760000,420.480000,31.662033,29.785529,15.831016,14.892764,0.200000,17.000000,0.000000,15.000000,0.896197,1.126537
2,63.351953,0.000000,0.000000,0.000000,63.351953,0.000000,1600.000000,0.000000,3.950000,0.000000,1.975000,0.000000,1.000000,96.000000,0.000000,0.000000,2.076093,0.000000
2,-54.976382,0.000000,0.000000,0.000000,54.976382,0.000000,65.160000,0.000000,21.448692,0.000000,10.724346,0.000000,0.250000,36.000000,0.000000,10.000000,0.525389,0.000000
2,-34.299199,0.000000,-2764.800000,0.000000,66.710237,2764.800000,173.160000,276.480000,23.984234,19.305463,11.992117,9.652731,0.142857,36.000000,0.000000,10.000000,0.577302,0.000000
2,-297.382716,0.000000,-1440.000000,0.000000,297.382716,1440.000000,29.738272,144.000000,37.190790,10.480066,18.595395,5.240033,0.200000,17.000000,0.000000,15.000000,0.780672,0.000000
2,-34.500549,0.000000,-2764.800000,0.000000,66.911587,2764.800000,173.160000,276.480000,23.984234,19.305463,11.992117,9.652731,0.142857,36.000000,0.000000,10.000000,0.577302,0.000000
2,-51.703130,0.000000,-2764.800000,0.000000,56.269506,2764.800000,173.160000,276.480000,23.984234,19.305463,11.992117,9.652731,0.142857,36.000000,0.000000,10.000000,0.577302,0.000000
2,15.056597,0.000000,0.000000,0.000000,27.853803,0.000000,580.666667,0.000000,9.918224,0.000000,4.959112,0.000000,1.000000,46.000000,0.000000,0.000000,0.882994,0.000000
