thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,pre_age_a,pre_age_b,chi,duration,theta,stability_bin,pre_E_total,post_E_total
2,-5278.888889,0.000000,-2420.148760,0.000000,5278.888889,2420.148760,527.888889,242.014876,57.165483,67.767425,28.582742,33.883713,260,260,0.090909,41.000000,0.000000,25.000000,1.709757,1.719590
2,-4970.400000,0.000000,-2420.148760,0.000000,4970.400000,2420.148760,497.040000,242.014876,58.564961,67.767425,29.282480,33.883713,250,10,0.166667,43.000000,0.000000,25.000000,1.770314,1.719590
2,-645.167477,0.000000,-760.000000,0.000000,645.167477,760.000000,67.183673,76.000000,20.573813,50.436638,10.286906,25.218319,10,110,0.200000,239.000000,0.000000,10.000000,0.433072,1.103285
2,-5228.800000,0.000000,-3226.485950,0.000000,5228.800000,3226.485950,522.880000,322.648595,58.834071,64.488900,29.417036,32.244450,10,270,0.142857,34.000000,0.000000,25.000000,1.757982,1.701272
2,-5228.800000,0.000000,-3226.485950,0.000000,5228.800000,3226.485950,522.880000,322.648595,58.834071,64.488900,29.417036,32.244450,270,10,0.142857,34.000000,0.000000,25.000000,1.757982,1.701272
2,-5228.800000,0.000000,-3226.485950,0.000000,5228.800000,3226.485950,522.880000,322.648595,58.834071,64.488900,29.417036,32.244450,10,270,0.142857,34.000000,0.000000,25.000000,1.757982,1.701272
2,-26.912016,0.000000,-2115.969388,0.000000,26.912016,2115.969388,2681.666667,211.596939,21.678454,66.102889,10.839227,33.051445,10,70,0.250000,361.000000,0.000000,10.000000,0.538162,1.588925
2,-30.537323,0.000000,-2115.969388,0.000000,30.537323,2115.969388,2681.666667,211.596939,21.678454,66.102889,10.839227,33.051445,70,10,0.250000,361.000000,0.000000,10.000000,0.538162,1.588925
2,-27.520147,0.000000,-2115.969388,0.000000,27.520147,2115.969388,2681.666667,211.596939,21.678454,66.102889,10.839227,33.051445,70,10,0.250000,361.000000,0.000000,10.000000,0.538162,1.588925
2,-3607.600000,0.000000,-9548.630835,0.000000,3607.600000,9548.630835,360.760000,954.863083,51.614178,78.444534,25.807089,39.222267,220,120,0.100000,196.000000,0.000000,25.000000,1.491792,2.750951
2,-9035.029586,0.000000,-9548.630835,0.000000,9035.029586,9548.630835,903.502959,954.863083,71.116334,78.444534,35.558167,39.222267,380,280,0.100000,41.000000,0.000000,35.000000,2.555241,2.750951
2,-3607.600000,0.000000,-9548.630835,0.000000,3607.600000,9548.630835,360.760000,954.863083,51.614178,78.444534,25.807089,39.222267,220,120,0.100000,196.000000,0.000000,25.000000,1.491792,2.750951
2,-3607.600000,0.000000,-9548.630835,0.000000,3607.600000,9548.630835,360.760000,954.863083,51.614178,78.444534,25.807089,39.222267,220,120,0.100000,196.000000,0.000000,25.000000,1.491792,2.750951
2,-9035.029586,0.000000,-9548.630835,0.000000,9035.029586,9548.630835,903.502959,954.863083,71.116334,78.444534,35.558167,39.222267,240,280,0.100000,41.000000,0.000000,35.000000,2.555241,2.750951
2,-9035.029586,0.000000,-9548.630835,0.000000,9035.029586,9548.630835,903.502959,954.863083,71.116334,78.444534,35.558167,39.222267,380,280,0.100000,41.000000,0.000000,35.000000,2.555241,2.750951
2,-2931.333333,0.000000,-573.428571,0.000000,2931.333333,573.428571,293.133333,57.342857,65.358948,87.457984,32.679474,43.728992,330,330,0.200000,92.000000,0.000000,30.000000,1.669076,1.820360
2,-2931.333333,0.000000,-573.428571,0.000000,2931.333333,573.428571,293.133333,57.342857,65.358948,87.457984,32.679474,43.728992,240,90,0.200000,92.000000,0.000000,30.000000,1.669076,1.820360
2,-1098.888889,0.000000,-573.428571,0.000000,1098.888889,573.428571,109.888889,57.342857,52.084867,87.457984,26.042434,43.728992,20,150,0.200000,151.000000,0.000000,25.000000,1.267387,1.820360
2,-700.000000,0.000000,-573.428571,0.000000,700.000000,573.428571,70.000000,57.342857,42.859226,87.457984,21.429613,43.728992,230,120,0.200000,188.000000,0.000000,20.000000,0.948127,1.820360
2,-2931.333333,0.000000,-573.428571,0.000000,2931.333333,573.428571,293.133333,57.342857,65.358948,87.457984,32.679474,43.728992,330,90,0.200000,92.000000,0.000000,30.000000,1.669076,1.820360
2,-2931.333333,0.000000,-573.428571,0.000000,2931.333333,573.428571,293.133333,57.342857,65.358948,87.457984,32.679474,43.728992,240,330,0.200000,92.000000,0.000000,30.000000,1.669076,1.820360
2,-428.626531,0.000000,-342.986767,0.000000,428.626531,342.986767,42.862653,34.298677,61.675138,42.751106,30.837569,21.375553,300,330,0.166667,67.000000,0.000000,30.000000,1.285500,0.000000
2,-428.626531,0.000000,-342.986767,0.000000,428.626531,342.986767,42.862653,34.298677,61.675138,42.751106,30.837569,21.375553,330,390,0.166667,67.000000,0.000000,30.000000,1.285500,0.000000
2,-428.626531,0.000000,-342.986767,0.000000,428.626531,342.986767,42.862653,34.298677,61.675138,42.751106,30.837569,21.375553,330,280,0.166667,67.000000,0.000000,30.000000,1.285500,0.000000
2,-557.437642,0.000000,-381.111111,0.000000,557.437642,381.111111,55.743764,38.111111,52.526112,34.182479,26.263056,17.091239,300,100,0.166667,88.000000,0.000000,25.000000,1.123132,0.000000
2,1.949160,0.000000,-10309.382716,0.000000,8.857437,10309.382716,1049.555556,1030.938272,21.046788,70.064079,10.523394,35.032040,10,130,0.200000,382.000000,0.000000,10.000000,0.459335,2.683202
2,-1.681684,0.000000,-10309.382716,0.000000,5.226592,10309.382716,1049.555556,1030.938272,21.046788,70.064079,10.523394,35.032040,130,10,0.200000,382.000000,0.000000,10.000000,0.459335,2.683202
2,-6955.969388,0.000000,-2716.945100,0.000000,6955.969388,2716.945100,695.596939,271.694510,86.143864,95.015872,43.071932,47.507936,350,350,0.071429,141.000000,0.000000,40.000000,2.620259,2.251061
2,-6955.969388,0.000000,-2716.945100,0.000000,6955.969388,2716.945100,695.596939,271.694510,86.143864,95.015872,43.071932,47.507936,170,350,0.071429,141.000000,0.000000,40.000000,2.620259,2.251061
2,-6955.969388,0.000000,-2716.945100,0.000000,6955.969388,2716.945100,695.596939,271.694510,86.143864,95.015872,43.071932,47.507936,350,350,0.071429,141.000000,0.000000,40.000000,2.620259,2.251061
2,-6955.969388,0.000000,-2716.945100,0.000000,6955.969388,2716.945100,695.596939,271.694510,86.143864,95.015872,43.071932,47.507936,350,350,0.071429,141.000000,0.000000,40.000000,2.620259,2.251061
2,-13788.639053,0.000000,-2716.945100,0.000000,13788.639053,2716.945100,1378.863905,271.694510,87.938647,95.015872,43.969324,47.507936,380,380,0.071429,121.000000,0.000000,40.000000,3.482922,2.251061
2,-13788.639053,0.000000,-2716.945100,0.000000,13788.639053,2716.945100,1378.863905,271.694510,87.938647,95.015872,43.969324,47.507936,240,200,0.071429,121.000000,0.000000,40.000000,3.482922,2.251061
2,-6955.969388,0.000000,-2716.945100,0.000000,6955.969388,2716.945100,695.596939,271.694510,86.143864,95.015872,43.071932,47.507936,350,350,0.071429,141.000000,0.000000,40.000000,2.620259,2.251061
2,-13788.639053,0.000000,-2716.945100,0.000000,13788.639053,2716.945100,1378.863905,271.694510,87.938647,95.015872,43.969324,47.507936,380,380,0.071429,121.000000,0.000000,40.000000,3.482922,2.251061
