chi,dp_norm,coh,stab,rad,size,ratio
0.125000,0.420240,2.250000,3.660170,1.604396,14.000000,0.692308
0.125000,0.176853,1.333333,1.998374,1.733333,16.000000,0.571429
0.125000,0.153057,2.035714,4.293620,1.783626,19.000000,0.670588
0.125000,0.230200,3.666667,2.894663,1.511111,10.000000,0.785714
0.187500,0.102936,4.333333,2.567908,1.861905,21.000000,0.812500
0.166667,0.670414,2.473684,5.350380,1.860399,27.000000,0.712121
0.166667,0.969693,3.388889,5.981436,1.960227,33.000000,0.772152
0.076923,0.614432,2.500000,6.926342,1.909274,32.000000,0.714286
0.166667,0.328678,1.571429,11.476186,1.266667,6.000000,0.611111
0.200000,0.200000,2.333333,5.478411,1.300000,5.000000,0.700000
0.200000,0.224071,3.142857,5.142940,1.577778,10.000000,0.758621
0.083333,0.261978,1.937500,7.687806,2.140230,30.000000,0.659574
0.083333,0.098149,2.071429,6.914168,1.560606,12.000000,0.674419
0.200000,1.000000,1.750000,6.850553,1.766667,21.000000,0.636364
0.111111,0.208109,5.250000,4.382268,1.416667,9.000000,0.840000
0.100000,1.000000,1.960000,4.930922,1.766667,21.000000,0.662162
0.100000,0.560398,1.769231,6.232218,1.488889,10.000000,0.638889
0.200000,0.277525,1.937500,7.687806,2.140230,30.000000,0.659574
0.166667,1.000000,2.080000,4.650005,1.963158,20.000000,0.675325
0.166667,0.097334,5.250000,4.382268,1.416667,9.000000,0.840000
0.250000,0.938374,1.571429,10.402926,1.266667,6.000000,0.611111
0.142857,0.706420,6.000000,5.452532,1.428571,7.000000,0.857143
0.076923,0.052359,1.888889,8.989253,1.564103,13.000000,0.653846
0.076923,0.566871,3.000000,8.652675,1.551282,13.000000,0.750000
0.142857,0.778697,2.368421,9.170389,1.657143,15.000000,0.703125
0.076923,0.396748,6.200000,7.562161,1.602564,13.000000,0.861111
0.076923,0.491366,2.222222,8.905190,1.637363,14.000000,0.689655
0.200000,0.510278,7.000000,5.071011,1.666667,6.000000,0.875000
