pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,70.024608,0.000000,0.000000,70.024608,784.666667,1946.270000,0.000000,2.166667,0.000000,1.083333,0.166667,180.000000,0.000000,0.000000,2.389004
0.000000,0.000000,24.126876,0.000000,0.000000,24.126876,1034.000000,596.666667,0.000000,1.611111,0.000000,0.805556,0.200000,180.000000,0.000000,0.000000,0.776180
0.000000,0.000000,25.246770,0.000000,0.000000,25.246770,780.800000,604.186667,0.000000,2.000000,0.000000,1.000000,0.200000,180.000000,0.000000,0.000000,0.777476
0.000000,0.000000,5.690824,0.000000,0.000000,5.690824,135.300000,150.399375,0.000000,3.395833,0.000000,1.697917,0.200000,330.000000,0.000000,0.000000,0.255296
18.011710,0.000000,20.260359,0.000000,18.011710,20.260359,417.268750,463.580247,3.389286,5.590268,1.694643,2.795134,0.200000,30.000000,0.000000,0.584069,0.685543
10.349915,0.000000,23.842705,0.000000,10.349915,23.842705,228.800000,537.750000,3.291667,5.168839,1.645833,2.584420,0.200000,30.000000,0.000000,0.361092,0.794148
22.824127,0.000000,103.328808,0.000000,22.824127,103.328808,503.555556,2400.555556,3.948077,5.783664,1.974038,2.891832,0.200000,100.000000,0.000000,0.694126,3.087759
5.882642,0.000000,7.154145,0.000000,5.882642,7.154145,183.699640,190.750000,3.212745,12.019685,1.606373,6.009842,0.071429,190.000000,0.000000,0.294690,0.478873
21.661340,0.000000,17.874890,0.000000,21.661340,17.874890,519.555556,427.918367,1.777778,12.772293,0.888889,6.386146,0.200000,340.000000,0.000000,0.683133,0.790524
20.657991,0.000000,55.881583,0.000000,20.657991,55.881583,115.256055,148.000000,18.906513,19.496603,9.453257,9.748301,0.111111,100.000000,5.000000,0.523718,0.576074
10.211944,0.000000,40.338745,0.000000,10.211944,40.338745,198.508125,606.160714,17.045441,20.788915,8.522721,10.394457,0.125000,260.000000,5.000000,0.591492,1.178611
8.884907,0.000000,39.717548,0.000000,8.884907,39.717548,183.680000,606.160714,15.457928,20.788915,7.728964,10.394457,0.125000,280.000000,5.000000,0.539727,1.172631
-0.327718,0.000000,3.137406,0.000000,1.208258,3.137406,273.500000,95.277778,3.658333,6.198958,1.829167,3.099479,0.200000,100.000000,0.000000,0.097974,0.240105
5.642806,0.000000,4.269246,0.000000,5.642806,4.269246,131.846667,104.481653,1.291667,4.633571,0.645833,2.316786,0.166667,180.000000,0.000000,0.194746,0.224480
