pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
65740333991794082467970809856.000000,0.000000,436633678332334134894785940422656.000000,0.000000,65740333991794082467970809856.000000,436633678332334134894785940422656.000000,305.502056,252.686884,42.820764,44.545279,21.410382,22.272640,0.023810,380.000000,20.000000,2.013620,1.870341
1496585562244225938030487142400.000000,0.000000,2572170357303847834854224694765158400.000000,0.000000,1496585562244225938030487142400.000000,2572170357303847834854224694765158400.000000,232.700225,258.125875,28.244807,40.014491,14.122403,20.007245,0.032258,750.000000,10.000000,1.601285,1.861934
1428693778448515406252608585728.000000,0.000000,2503728368531887257211215840723075072.000000,0.000000,1428693778448515406252608585728.000000,2503728368531887257211215840723075072.000000,214.376943,218.475942,26.882203,39.437185,13.441102,19.718592,0.045455,750.000000,10.000000,1.598043,1.447534
170727778760380.562500,0.000000,10143007734092080.000000,0.000000,170727778760380.562500,10143007734092080.000000,243.540697,112.553515,19.513272,22.876155,9.756636,11.438078,0.111111,270.000000,5.000000,0.451034,1.188945
