pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
3.786431,0.000000,11.837545,0.000000,3.786431,11.837545,121.657584,301.784722,3.900123,6.050264,1.950061,3.025132,0.166667,70.000000,0.000000,0.198193,0.514484
5.353378,0.000000,7.571949,0.000000,5.353378,7.571949,84.728889,131.580340,5.724241,8.954909,2.862121,4.477454,0.200000,200.000000,0.000000,0.216339,0.340932
5.742591,0.000000,5.571062,0.000000,5.742591,5.571062,116.824931,84.000000,5.672706,10.838389,2.836353,5.419195,0.250000,210.000000,0.000000,0.252195,0.315417
8.370509,0.000000,6.106488,0.000000,8.370509,6.106488,197.204167,111.603306,1.590476,10.564670,0.795238,5.282335,0.142857,240.000000,0.000000,0.283781,0.343567
0.915874,0.000000,14.579765,0.000000,2.329000,14.579765,104.938272,333.699219,5.704810,10.536045,2.852405,5.268022,0.100000,30.000000,0.000000,0.149752,0.663091
0.176705,0.000000,14.493444,0.000000,1.589831,14.493444,104.938272,333.699219,5.704810,10.536045,2.852405,5.268022,0.100000,30.000000,0.000000,0.149752,0.663091
15.531403,0.000000,17.076092,0.000000,15.531403,17.076092,370.122449,417.164444,2.147368,5.192803,1.073684,2.596402,0.100000,70.000000,0.000000,0.501910,0.616803
0.000000,0.000000,2.957578,0.000000,0.000000,2.957578,138.211806,72.282778,0.000000,3.533125,0.000000,1.766563,0.200000,170.000000,0.000000,0.000000,0.163905
0.000000,0.000000,17.315074,0.000000,0.000000,17.315074,229.955556,417.164444,0.000000,5.192803,0.000000,2.596402,0.200000,170.000000,0.000000,0.000000,0.616803
0.285403,0.000000,0.589585,0.000000,1.318742,1.069138,38.723214,35.920000,2.285714,4.521875,1.142857,2.260937,0.142857,70.000000,0.000000,0.072072,0.134665
0.000000,0.000000,2.648107,0.000000,0.000000,2.648107,120.767361,66.522778,0.000000,4.026875,0.000000,2.013438,0.142857,170.000000,0.000000,0.000000,0.163794
3.804167,0.000000,1.423536,0.000000,3.804167,1.423536,104.233560,30.555556,2.628571,5.674167,1.314286,2.837083,0.142857,70.000000,0.000000,0.180277,0.150351
0.000000,0.000000,1.184553,0.000000,0.000000,1.184553,118.111111,30.555556,0.000000,5.674167,0.000000,2.837083,0.200000,170.000000,0.000000,0.000000,0.150351
30.483507,0.000000,6.112687,0.000000,31.516846,6.592240,746.285714,34.577778,1.888889,4.150000,0.944444,2.075000,0.142857,70.000000,0.000000,0.950068,0.120210
4.384521,0.000000,3.853159,0.000000,4.384521,3.853159,107.892346,97.116686,5.676094,7.455002,2.838047,3.727501,0.125000,20.000000,0.000000,0.255603,0.273132
-1.072410,0.000000,2.372528,0.000000,2.932532,2.372528,55.994898,78.938776,4.000595,8.255940,2.000298,4.127970,0.166667,30.000000,0.000000,0.094183,0.271978
4.109695,0.000000,3.654418,0.000000,4.109695,3.654418,102.132346,91.356686,6.032500,7.802498,3.016250,3.901249,0.125000,20.000000,0.000000,0.255533,0.272882
4.271502,0.000000,4.524661,0.000000,4.271502,4.524661,34.022676,32.250000,4.279167,9.462966,2.139583,4.731483,0.250000,30.000000,0.000000,0.121781,0.233173
0.000000,0.000000,3.322264,0.000000,0.000000,3.322264,232.511111,94.111661,0.000000,12.896904,0.000000,6.448452,0.142857,320.000000,0.000000,0.000000,0.374386
5.602303,0.000000,7.802477,0.000000,5.602303,7.802477,142.564566,99.347434,10.330933,13.548298,5.165467,6.774149,0.111111,200.000000,5.000000,0.384777,0.395853
6.282964,0.000000,7.300172,0.000000,6.282964,7.300172,167.326531,89.783069,14.171706,18.040827,7.085853,9.020413,0.083333,30.000000,5.000000,0.490158,0.472416
17.773625,0.000000,21.367941,0.000000,17.773625,21.367941,174.826404,147.957143,12.648394,17.636486,6.324197,8.818243,0.066667,30.000000,5.000000,0.472665,0.521764
14.762417,0.000000,23.783623,0.000000,14.762417,23.783623,106.847306,193.432245,12.024986,16.027588,6.012493,8.013794,0.066667,30.000000,5.000000,0.378360,0.546806
0.000000,0.000000,13.612254,0.000000,0.000000,13.612254,277.056250,146.906813,0.000000,18.465746,0.000000,9.232873,0.100000,530.000000,0.000000,0.000000,0.554799
