chi,dp_norm,coh,stab,rad,size,ratio
0.142857,0.779959,26.000000,1.145990,1.666667,12.000000,0.962963
0.142857,0.201292,7.500000,0.993750,1.464286,8.000000,0.882353
0.200000,0.775604,6.333333,2.744087,1.727273,11.000000,0.863636
0.166667,0.981685,2.000000,1.788018,1.533333,6.000000,0.666667
0.166667,0.168550,7.800000,1.923620,1.626374,14.000000,0.886364
0.125000,0.270144,1.875000,2.277830,1.464286,8.000000,0.652174
0.125000,0.664076,9.500000,2.663222,1.577778,10.000000,0.904762
0.200000,0.941681,5.090909,4.486061,1.834409,31.000000,0.835821
0.200000,0.554072,4.000000,1.735266,1.200000,5.000000,0.800000
0.214286,0.950291,7.800000,1.923620,1.626374,14.000000,0.886364
0.090909,0.031089,4.400000,3.451492,1.600000,11.000000,0.814815
0.090909,0.483153,3.900000,4.839945,1.985294,17.000000,0.795918
0.250000,0.964376,7.818182,4.303395,1.706522,24.000000,0.886598
0.076923,0.138961,4.400000,5.258210,1.779221,22.000000,0.814815
0.181818,1.000000,2.266667,6.389341,1.800000,15.000000,0.693878
0.181818,0.711817,1.800000,6.411336,1.590909,12.000000,0.642857
0.200000,0.542857,3.000000,5.255626,1.400000,5.000000,0.750000
0.125000,0.805037,12.000000,5.094401,1.821429,8.000000,0.923077
0.125000,0.805037,12.000000,5.094401,1.821429,8.000000,0.923077
0.200000,0.639527,7.000000,2.385382,1.300000,5.000000,0.875000
0.083333,0.097547,4.400000,5.258210,1.779221,22.000000,0.814815
0.181818,0.023467,3.307692,8.581416,1.868093,34.000000,0.767857
0.250000,0.098367,2.951613,12.597399,1.847851,42.000000,0.746939
0.111111,0.912564,3.216667,13.089849,1.843854,43.000000,0.762846
0.083333,0.856374,2.536232,12.134854,1.850000,41.000000,0.717213
0.100000,0.492932,21.000000,8.155764,1.600000,10.000000,0.954545
0.100000,0.894492,2.951613,12.597399,1.847851,42.000000,0.746939
0.142857,0.583028,1.714286,8.540428,1.428571,7.000000,0.631579
0.142857,0.899800,3.346154,15.270455,1.764264,37.000000,0.769912
0.153846,0.618412,2.100000,3.555438,1.555556,10.000000,0.677419
0.153846,0.893940,2.944444,9.687643,1.848853,39.000000,0.746479
0.250000,1.000000,3.666667,9.219604,1.714286,8.000000,0.785714
0.100000,0.353417,1.842105,8.725380,1.602564,13.000000,0.648148
0.100000,0.333333,3.500000,5.972229,1.533333,10.000000,0.777778
0.058824,0.173987,3.600000,13.287352,1.751634,18.000000,0.782609
0.055556,0.563709,3.875000,12.469299,2.047619,22.000000,0.794872
0.250000,1.000000,2.000000,5.059834,1.333333,4.000000,0.666667
0.250000,0.739734,2.333333,9.769130,1.533333,6.000000,0.700000
0.166667,0.436057,3.500000,8.823039,1.533333,6.000000,0.777778
0.166667,0.433852,7.000000,9.864695,1.694444,9.000000,0.875000
0.142857,0.204683,3.500000,14.110906,2.437908,18.000000,0.777778
0.142857,0.851698,2.750000,8.390981,1.476190,7.000000,0.733333
0.200000,0.611511,2.333333,11.913204,1.300000,5.000000,0.700000
0.200000,0.885902,3.875000,12.469299,2.047619,22.000000,0.794872
0.142857,0.233098,2.200000,9.701152,1.600000,11.000000,0.687500
0.142857,0.920706,3.750000,8.091291,1.866667,10.000000,0.789474
0.250000,0.313828,2.684211,10.487916,1.720588,17.000000,0.728571
0.076923,0.954046,8.800000,10.135577,1.527473,14.000000,0.897959
0.076923,0.392192,1.736842,11.336001,1.576923,13.000000,0.634615
0.142857,0.016054,3.666667,7.219184,1.823529,17.000000,0.785714
0.083333,0.033713,1.818182,18.377810,1.833333,21.000000,0.645161
0.083333,0.193439,1.818182,18.377810,1.833333,21.000000,0.645161
0.200000,0.252512,1.627907,19.869854,1.960145,24.000000,0.619469
0.200000,0.384331,1.627907,19.869854,1.960145,24.000000,0.619469
0.142857,0.182931,1.808511,21.769403,1.960114,27.000000,0.643939
0.142857,0.025000,2.090909,18.789411,1.488889,10.000000,0.676471
0.142857,0.049531,1.808511,21.769403,1.960114,27.000000,0.643939
0.076923,0.692216,1.808511,21.769403,1.960114,27.000000,0.643939
0.076923,0.144135,2.517241,9.146468,2.211823,29.000000,0.715686
0.076923,0.018182,2.846154,11.008740,1.841667,16.000000,0.740000
0.076923,0.077833,1.808511,21.769403,1.960114,27.000000,0.643939
0.142857,1.000000,1.808511,21.769403,1.960114,27.000000,0.643939
0.142857,0.334442,1.808511,21.769403,1.960114,27.000000,0.643939
0.133333,0.342978,1.941176,7.885264,1.733333,15.000000,0.660000
0.111111,0.038462,3.200000,14.352328,1.555556,9.000000,0.761905
0.111111,0.204189,2.594595,9.827838,2.333333,36.000000,0.721805
0.250000,0.985878,1.833333,9.734262,1.733333,15.000000,0.647059
