thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,theta,stability_bin,pre_E_total,post_E_total
1,0.000000,0.000000,177.496332,0.000000,0.000000,177.496332,2469.333333,4156.250000,0.000000,4.688333,0.000000,2.344167,0.200000,280.000000,0.000000,0.000000,0.000000,8.476965
1,17.641567,0.000000,208.631225,0.000000,17.641567,208.631225,412.250000,4156.250000,2.111111,4.688333,1.055556,2.344167,0.111111,10.000000,0.000000,0.000000,0.571347,8.476965
1,0.475613,0.000000,0.382186,0.000000,0.475613,0.382186,37.053819,12.444444,1.571429,3.354107,0.785714,1.677054,0.142857,70.000000,0.000000,0.000000,0.046783,0.000000
1,-0.030480,0.000000,10.156646,0.000000,0.030480,10.156646,503.769375,244.469388,1.259740,2.852614,0.629870,1.426307,0.142857,70.000000,0.000000,0.000000,0.025195,0.000000
1,0.000000,0.000000,10.654800,0.000000,0.000000,10.654800,2514.444444,243.000000,0.000000,4.371813,0.000000,2.185906,0.166667,390.000000,0.000000,0.000000,0.000000,0.000000
1,7.896227,0.000000,2.314312,0.000000,7.896227,2.314312,192.400000,50.693878,1.800000,8.967997,0.900000,4.483998,0.250000,120.000000,0.000000,0.000000,0.273436,0.242503
1,1.773073,0.000000,3.575817,0.000000,1.834034,3.575817,527.560000,85.575534,1.345455,8.115015,0.672727,4.057507,0.100000,120.000000,0.000000,0.000000,0.085949,0.264752
1,2.689145,0.000000,6.180049,0.000000,2.689145,6.180049,67.324444,129.960000,1.857143,3.609537,0.928571,1.804768,0.142857,120.000000,0.000000,0.000000,0.120711,0.000000
1,46.288613,0.000000,54.871166,0.000000,46.288613,54.871166,651.010204,87.111111,5.587837,4.844082,2.793919,2.422041,0.111111,50.000000,0.000000,0.000000,0.907443,0.000000
1,9.028993,0.000000,17.201091,0.000000,9.028993,17.201091,214.775510,387.000000,5.769948,9.621735,2.884974,4.810868,0.250000,50.000000,0.000000,0.000000,0.378148,0.687670
