chi,dp_norm,coh,stab,rad,size,ratio
0.111111,0.896634,22.000000,0.555556,1.388889,9.000000,0.956522
0.240000,0.932485,2.000000,2.489649,1.166667,9.000000,0.666667
0.200000,1.000000,2.816327,2.796165,2.035562,38.000000,0.737968
0.250000,0.617275,2.816327,2.796165,2.035562,38.000000,0.737968
0.250000,1.000000,2.816327,2.796165,2.035562,38.000000,0.737968
0.315789,0.264257,3.702128,6.254836,2.035437,43.000000,0.787330
0.315789,0.493021,3.702128,6.254836,2.035437,43.000000,0.787330
0.250000,0.488862,1.600000,1.555123,1.466667,6.000000,0.615385
0.142857,0.872470,7.017544,9.641369,1.953112,69.000000,0.875274
0.142857,0.830072,2.400000,12.730052,1.428571,7.000000,0.705882
0.142857,0.818740,2.400000,12.730052,1.428571,7.000000,0.705882
0.142857,0.872470,7.017544,9.641369,1.953112,69.000000,0.875274
0.111111,0.931990,6.000000,12.879934,1.866667,10.000000,0.857143
0.125000,0.037037,11.666667,5.920655,1.742857,15.000000,0.921053
0.111111,0.932114,6.000000,12.879934,1.866667,10.000000,0.857143
0.100000,0.677708,2.333333,9.990945,2.111111,10.000000,0.700000
0.100000,0.361053,3.142857,7.623120,1.709091,11.000000,0.758621
0.100000,0.361053,3.142857,7.623120,1.709091,11.000000,0.758621
0.100000,1.000000,2.333333,9.990945,2.111111,10.000000,0.700000
0.055556,0.368878,1.739130,7.301401,1.826316,20.000000,0.634921
0.055556,0.192960,8.333333,8.470624,1.738562,18.000000,0.892857
0.076923,0.276073,5.700000,9.949158,1.707602,19.000000,0.850746
0.076923,0.945597,1.400000,5.762352,1.756410,13.000000,0.583333
0.250000,1.000000,1.800000,2.575647,1.500000,9.000000,0.642857
0.125000,0.134430,2.210526,19.430076,1.695238,15.000000,0.688525
0.125000,0.125000,2.250000,11.566067,1.678571,8.000000,0.692308
0.125000,0.125000,2.250000,11.566067,1.678571,8.000000,0.692308
0.125000,0.114099,2.210526,19.430076,1.695238,15.000000,0.688525
0.083333,0.032258,1.785714,10.948155,1.621212,12.000000,0.641026
0.083333,0.013451,6.230769,8.323358,1.944615,26.000000,0.861702
0.200000,0.721871,3.333333,14.072547,1.000000,5.000000,0.769231
0.200000,0.450416,4.125000,19.825698,1.560606,12.000000,0.804878
0.200000,0.444673,4.125000,19.825698,1.560606,12.000000,0.804878
0.250000,0.315068,2.200000,7.120794,1.666667,12.000000,0.687500
0.250000,1.000000,4.000000,7.247743,1.333333,4.000000,0.800000
0.083333,0.555136,1.785714,13.883651,1.621212,12.000000,0.641026
0.083333,0.353110,6.052632,8.981394,2.112299,34.000000,0.858209
0.166667,0.032258,7.200000,8.349260,1.604396,14.000000,0.878049
0.200000,0.331457,1.750000,9.865142,1.300000,5.000000,0.636364
0.125000,0.648659,3.444444,6.679744,1.824176,14.000000,0.775000
0.125000,0.817654,5.000000,12.182073,1.285714,8.000000,0.833333
0.166667,0.453280,1.800000,10.707791,1.400000,6.000000,0.642857
0.100000,0.881915,1.866667,8.108561,1.824176,14.000000,0.651163
0.111111,0.091253,2.071429,23.399241,1.712418,18.000000,0.674419
0.111111,0.027027,1.833333,15.233195,1.694444,9.000000,0.647059
0.111111,0.027027,1.833333,15.233195,1.694444,9.000000,0.647059
0.111111,0.101182,2.071429,23.399241,1.712418,18.000000,0.674419
0.166667,0.099426,5.166667,9.429489,1.949735,28.000000,0.837838
0.166667,0.137931,8.000000,13.033027,1.533333,6.000000,0.888889
0.083333,0.129565,1.500000,7.490751,1.681818,12.000000,0.600000
0.083333,0.181197,4.480000,10.072239,1.969892,31.000000,0.817518
0.200000,0.211138,1.812500,22.899551,1.666667,18.000000,0.644444
0.200000,0.210892,1.812500,22.899551,1.666667,18.000000,0.644444
0.200000,0.073301,6.071429,9.028604,1.904615,26.000000,0.858586
0.200000,0.111918,4.500000,8.465460,1.100000,5.000000,0.818182
0.111111,0.783474,1.833333,16.401195,1.694444,9.000000,0.647059
0.111111,0.127219,2.147059,21.792244,1.738095,21.000000,0.682243
0.111111,0.124099,2.147059,21.792244,1.738095,21.000000,0.682243
0.111111,0.783474,1.833333,16.401195,1.694444,9.000000,0.647059
0.062500,0.021277,7.500000,12.280729,1.625000,16.000000,0.882353
0.062500,0.109630,4.461538,12.205117,2.089852,44.000000,0.816901
0.047619,0.109630,4.461538,12.205117,2.089852,44.000000,0.816901
0.047619,0.053268,2.000000,14.998869,1.928571,21.000000,0.666667
0.200000,0.349631,2.523810,13.592178,1.884211,20.000000,0.716216
0.083333,0.929852,3.600000,10.035747,1.878788,12.000000,0.782609
0.083333,0.110252,1.900000,9.218621,1.897059,17.000000,0.655172
0.086957,0.649739,4.461538,12.205117,2.089852,44.000000,0.816901
0.086957,0.716808,2.352941,21.540269,1.714286,22.000000,0.701754
0.083333,0.236694,1.923077,9.946826,1.621212,12.000000,0.657895
0.083333,0.836575,2.210526,19.430076,1.695238,15.000000,0.688525
0.083333,0.845865,2.210526,19.430076,1.695238,15.000000,0.688525
0.083333,0.236694,1.923077,9.946826,1.621212,12.000000,0.657895
0.090909,0.855723,1.812500,22.899551,1.666667,18.000000,0.644444
0.090909,0.288601,2.000000,10.034236,1.563636,11.000000,0.666667
0.090909,0.288601,2.000000,10.034236,1.563636,11.000000,0.666667
0.090909,0.858114,1.812500,22.899551,1.666667,18.000000,0.644444
0.125000,0.038139,1.875000,11.323431,1.500000,8.000000,0.652174
0.125000,0.022368,2.000000,14.284555,1.928571,21.000000,0.666667
0.086957,0.649739,4.461538,12.205117,2.089852,44.000000,0.816901
0.086957,0.718619,2.352941,21.540269,1.714286,22.000000,0.701754
0.250000,0.194489,6.500000,16.961748,1.422222,10.000000,0.866667
0.090909,0.169835,2.755556,13.654359,2.062185,35.000000,0.733728
0.090909,0.179954,3.333333,11.708230,1.890909,11.000000,0.769231
0.090909,0.169835,2.755556,13.654359,2.062185,35.000000,0.733728
0.090909,0.289474,3.333333,11.708230,1.890909,11.000000,0.769231
0.250000,0.183900,6.500000,16.961748,1.422222,10.000000,0.866667
0.125000,0.169835,2.755556,13.654359,2.062185,35.000000,0.733728
0.125000,0.027778,7.000000,16.216720,1.500000,8.000000,0.875000
0.250000,0.336205,3.125000,13.683568,1.725275,14.000000,0.757576
0.111111,0.117475,1.888889,18.474877,1.527778,9.000000,0.653846
0.111111,0.004903,2.508772,14.330775,2.151220,41.000000,0.715000
0.062500,0.264374,7.500000,14.367548,1.625000,16.000000,0.882353
0.062500,0.024602,2.755556,13.654359,2.062185,35.000000,0.733728
0.111111,0.151832,1.888889,18.474877,1.527778,9.000000,0.653846
0.111111,0.004903,2.508772,14.330775,2.151220,41.000000,0.715000
0.125000,0.075695,1.800000,14.052694,1.527778,9.000000,0.642857
0.166667,0.920143,2.272727,9.090762,1.621212,12.000000,0.694444
0.076923,0.402436,1.615385,15.863034,1.730769,13.000000,0.617647
0.076923,0.931631,2.400000,19.409131,1.647059,17.000000,0.705882
0.111111,0.340097,1.187500,16.047021,1.622222,10.000000,0.542857
0.111111,0.186920,5.142857,16.512413,1.589744,13.000000,0.837209
0.125000,0.119364,2.125000,12.710009,1.392857,8.000000,0.680000
0.125000,0.087829,2.833333,12.565154,1.611111,9.000000,0.739130
0.125000,0.119364,2.125000,12.710009,1.392857,8.000000,0.680000
0.125000,0.536096,3.000000,14.380611,1.590909,12.000000,0.750000
0.050000,0.117205,3.195652,15.998534,2.160279,42.000000,0.761658
0.090909,0.198471,1.571429,22.910637,1.709091,11.000000,0.611111
0.090909,0.206873,1.571429,22.910637,1.709091,11.000000,0.611111
0.142857,0.558085,2.200000,15.848337,1.476190,7.000000,0.687500
0.166667,0.475378,2.666667,14.919743,1.466667,6.000000,0.727273
0.166667,0.298574,4.461538,12.205117,2.089852,44.000000,0.816901
0.111111,0.612666,1.800000,17.562469,1.500000,9.000000,0.642857
0.111111,0.081108,3.363636,18.754898,1.692308,14.000000,0.770833
0.083333,0.296122,2.400000,12.383242,1.833333,13.000000,0.705882
0.083333,0.186360,1.928571,20.064077,1.590909,12.000000,0.658537
0.100000,0.143580,3.847826,13.476494,2.035437,43.000000,0.793722
0.100000,0.751233,7.500000,13.284908,2.066667,10.000000,0.882353
0.090909,0.248370,2.555556,12.806175,1.581818,11.000000,0.718750
0.090909,0.298574,4.461538,12.205117,2.089852,44.000000,0.816901
0.071429,0.029105,2.700000,12.762549,1.923077,14.000000,0.729730
0.071429,0.012987,3.000000,15.787671,1.861472,22.000000,0.750000
0.200000,0.477374,2.000000,6.692058,1.571429,8.000000,0.666667
0.200000,0.242341,6.000000,13.950560,1.400000,5.000000,0.857143
0.111111,0.159614,1.933333,20.112085,1.628205,13.000000,0.659091
0.083333,0.271348,1.666667,19.656935,2.027668,23.000000,0.625000
0.076923,0.096786,3.428571,17.390109,1.691667,16.000000,0.774194
0.076923,0.416667,2.800000,15.043450,1.769231,13.000000,0.736842
0.200000,0.025347,3.000000,15.143532,1.861472,22.000000,0.750000
0.111111,0.580914,1.666667,19.656935,2.027668,23.000000,0.625000
0.111111,0.014493,1.608696,18.646950,1.691667,16.000000,0.616667
0.111111,0.164102,2.133333,16.830161,1.733333,16.000000,0.680851
0.055556,0.012512,3.094340,20.726353,2.189372,46.000000,0.755760
0.055556,0.340830,3.857143,18.032504,1.771242,18.000000,0.794118
0.071429,0.133630,3.094340,20.726353,2.189372,46.000000,0.755760
0.071429,0.053283,2.076923,25.216170,1.912088,14.000000,0.675000
0.166667,0.483524,2.446809,15.364346,1.944086,31.000000,0.709877
0.071429,0.133630,3.094340,20.726353,2.189372,46.000000,0.755760
0.071429,0.050394,2.076923,25.216170,1.912088,14.000000,0.675000
0.125000,0.045159,1.608696,18.646950,1.691667,16.000000,0.616667
0.125000,0.316751,4.666667,23.647508,1.500000,8.000000,0.823529
0.111111,0.107060,1.571429,22.910637,1.709091,11.000000,0.611111
0.111111,0.465824,1.666667,17.321999,1.583333,9.000000,0.625000
0.111111,0.465824,1.666667,17.321999,1.583333,9.000000,0.625000
0.111111,0.087435,1.571429,22.910637,1.709091,11.000000,0.611111
0.076923,0.045159,1.608696,18.646950,1.691667,16.000000,0.616667
0.076923,0.058731,2.533333,23.996746,1.512821,13.000000,0.716981
0.076923,0.025776,2.533333,23.996746,1.512821,13.000000,0.716981
0.076923,0.045159,1.608696,18.646950,1.691667,16.000000,0.616667
0.111111,0.332856,3.195652,15.998534,2.160279,42.000000,0.761658
0.111111,0.786893,1.700000,22.737580,1.527778,9.000000,0.629630
0.100000,0.332856,3.195652,15.998534,2.160279,42.000000,0.761658
0.100000,0.161149,2.833333,12.635572,1.622222,10.000000,0.739130
0.111111,0.896325,1.700000,22.737580,1.527778,9.000000,0.629630
0.111111,0.332856,3.195652,15.998534,2.160279,42.000000,0.761658
0.100000,0.298879,3.094340,20.726353,2.189372,46.000000,0.755760
0.100000,0.106409,1.608696,19.462027,1.691667,16.000000,0.616667
0.176471,0.086430,2.755556,13.654359,2.062185,35.000000,0.733728
0.176471,0.953885,1.962963,17.055090,1.868421,20.000000,0.662500
0.250000,0.237118,2.000000,26.182673,1.772727,12.000000,0.666667
0.250000,0.222710,2.000000,26.182673,1.772727,12.000000,0.666667
0.142857,0.360070,1.750000,11.403464,1.618182,11.000000,0.636364
0.200000,0.068719,6.833333,19.347528,1.739130,23.000000,0.872340
0.090909,0.434301,2.307692,23.074949,1.942857,15.000000,0.697674
0.090909,0.001761,2.625000,22.499762,1.618182,11.000000,0.724138
0.090909,0.442456,2.307692,23.074949,1.942857,15.000000,0.697674
0.090909,0.001761,2.625000,22.499762,1.618182,11.000000,0.724138
0.100000,0.008582,1.642857,19.757518,1.730994,19.000000,0.621622
0.100000,0.241535,4.500000,24.544272,1.644444,10.000000,0.818182
0.052632,0.227747,3.047619,24.201553,1.828571,21.000000,0.752941
0.052632,0.008582,1.642857,19.757518,1.730994,19.000000,0.621622
0.052632,0.278253,3.047619,24.201553,1.828571,21.000000,0.752941
0.052632,0.008582,1.642857,19.757518,1.730994,19.000000,0.621622
0.125000,0.712295,1.840000,15.930822,1.989474,20.000000,0.647887
0.125000,0.105502,2.800000,15.282597,1.500000,8.000000,0.736842
0.111111,0.107172,2.593750,19.561954,2.000000,28.000000,0.721739
0.111111,0.852630,18.000000,14.037259,1.555556,9.000000,0.947368
0.200000,0.364732,2.578947,17.562157,1.919048,21.000000,0.720588
0.083333,0.253836,2.857143,11.933519,1.696970,12.000000,0.740741
0.083333,0.665611,1.913043,13.378577,1.869281,18.000000,0.656716
0.100000,0.381783,2.000000,14.208755,1.727273,11.000000,0.666667
0.095238,0.695562,3.500000,18.760301,2.106410,40.000000,0.777778
0.047619,0.341107,1.261905,20.714136,1.785714,21.000000,0.557895
0.047619,0.067366,2.323529,25.738467,1.750988,23.000000,0.699115
0.111111,0.022901,2.125000,17.777675,1.527778,9.000000,0.680000
0.111111,0.391301,2.166667,19.074574,1.847368,20.000000,0.684211
0.090909,0.352392,3.833333,15.604056,1.690909,11.000000,0.793103
0.090909,0.274109,2.272727,14.911608,1.679487,13.000000,0.694444
0.100000,0.388159,1.261905,20.714136,1.785714,21.000000,0.557895
0.100000,0.390262,3.000000,26.488332,1.644444,10.000000,0.750000
0.066667,0.045448,2.058824,25.627266,1.908333,16.000000,0.673077
0.066667,0.224749,2.428571,19.610013,1.676190,15.000000,0.708333
0.066667,0.224749,2.428571,19.610013,1.676190,15.000000,0.708333
0.066667,0.041727,2.058824,25.627266,1.908333,16.000000,0.673077
0.250000,0.041727,2.058824,25.627266,1.908333,16.000000,0.673077
0.047619,0.388159,1.261905,20.714136,1.785714,21.000000,0.557895
0.047619,0.075806,3.640000,23.239909,1.900285,27.000000,0.784483
0.250000,0.054232,1.628571,19.607502,1.814229,23.000000,0.619565
0.047619,0.388159,1.261905,20.714136,1.785714,21.000000,0.557895
0.047619,0.075193,3.640000,23.239909,1.900285,27.000000,0.784483
0.250000,0.045448,2.058824,25.627266,1.908333,16.000000,0.673077
0.125000,0.294278,2.166667,18.701391,1.535714,8.000000,0.684211
0.166667,1.000000,3.500000,11.147301,1.533333,6.000000,0.777778
0.181818,0.165651,4.000000,8.928971,1.571429,8.000000,0.800000
0.133333,0.004183,3.333333,18.221877,1.730769,13.000000,0.769231
0.125000,0.935663,2.800000,14.300958,1.500000,8.000000,0.736842
0.181818,0.192215,2.800000,12.883629,1.611111,9.000000,0.736842
0.083333,1.000000,2.300000,14.963663,1.947368,20.000000,0.696970
0.090909,0.505021,2.052632,16.733766,1.867647,17.000000,0.672414
0.125000,0.935663,2.800000,14.300958,1.500000,8.000000,0.736842
0.083333,0.058231,1.827586,21.707138,1.790514,23.000000,0.646341
0.083333,1.000000,2.272727,8.439448,1.696970,12.000000,0.694444
0.100000,0.015039,3.212121,21.287576,1.822751,28.000000,0.762590
0.100000,0.211072,2.428571,20.836873,1.676190,15.000000,0.708333
0.250000,0.018490,2.428571,19.172663,1.676190,15.000000,0.708333
0.043478,0.504137,1.892857,20.461883,1.790514,23.000000,0.654321
0.043478,0.028898,2.520833,20.381374,1.989916,35.000000,0.715976
0.125000,0.463586,2.187500,17.564194,1.742647,17.000000,0.686275
0.066667,0.843927,2.428571,19.610013,1.676190,15.000000,0.708333
0.066667,0.000413,2.520833,20.381374,1.989916,35.000000,0.715976
0.111111,0.706700,3.195652,15.998534,2.160279,42.000000,0.761658
0.111111,0.587977,1.666667,17.321999,1.583333,9.000000,0.625000
0.142857,0.656676,2.166667,15.405184,1.380952,7.000000,0.684211
0.142857,1.000000,1.562500,7.998434,1.681818,12.000000,0.609756
0.090909,0.439704,1.733333,27.101926,1.696970,12.000000,0.634146
0.090909,0.436790,1.733333,27.101926,1.696970,12.000000,0.634146
0.090909,0.537104,1.571429,8.631675,1.600000,11.000000,0.611111
0.250000,0.163636,2.000000,19.304679,1.333333,4.000000,0.666667
0.250000,0.550694,2.285714,17.060569,1.711111,10.000000,0.695652
0.142857,0.933945,3.500000,18.760301,2.106410,40.000000,0.777778
0.043478,0.580059,2.025641,27.113916,1.750988,23.000000,0.669492
0.043478,0.211370,1.789474,20.230708,1.855385,26.000000,0.641509
0.062500,0.007194,2.291667,21.887800,1.857143,21.000000,0.696203
0.062500,0.223979,3.526316,27.073484,1.865613,23.000000,0.779070
0.083333,0.171333,3.571429,23.311326,1.666667,12.000000,0.781250
0.090909,0.067060,1.375000,22.996608,1.636364,11.000000,0.578947
0.062500,0.214807,3.526316,27.073484,1.865613,23.000000,0.779070
0.222222,0.688858,1.941176,13.782256,1.900000,16.000000,0.660000
0.100000,1.000000,2.300000,14.963663,1.947368,20.000000,0.696970
0.142857,0.025000,1.625000,26.352723,1.380952,7.000000,0.619048
0.142857,0.318520,1.115385,19.834396,1.857143,15.000000,0.527273
0.090909,0.012658,4.000000,18.395386,1.636364,11.000000,0.800000
0.100000,1.000000,1.190476,18.549850,1.681818,12.000000,0.543478
0.250000,0.195700,3.571429,24.715343,1.666667,12.000000,0.781250
0.080000,0.039273,2.491228,23.238837,1.978663,38.000000,0.713568
0.062500,0.160224,2.200000,13.376210,1.891667,16.000000,0.687500
0.250000,0.347158,1.166667,18.292390,1.813187,14.000000,0.538462
0.142857,0.101449,6.500000,14.811126,1.380952,7.000000,0.866667
0.142857,0.290091,1.954545,22.941910,1.772059,17.000000,0.661538
0.142857,0.101449,6.500000,14.811126,1.380952,7.000000,0.866667
0.142857,0.290891,1.954545,22.941910,1.772059,17.000000,0.661538
0.250000,0.512576,1.120000,19.575811,1.813187,14.000000,0.528302
0.166667,0.008571,3.666667,17.796259,1.750000,8.000000,0.785714
0.166667,0.533667,1.600000,15.209706,1.466667,6.000000,0.615385
0.111111,0.117270,1.321429,19.072161,1.875817,18.000000,0.569231
0.047619,0.252899,2.291667,22.965800,1.857143,21.000000,0.696203
0.047619,0.048798,2.655172,26.432680,2.044974,28.000000,0.726415
0.250000,0.920955,2.000000,26.556808,1.333333,4.000000,0.666667
0.090909,0.021277,3.090909,16.992236,1.771429,15.000000,0.755556
0.047619,0.252899,2.291667,22.965800,1.857143,21.000000,0.696203
0.047619,0.329435,2.655172,26.432680,2.044974,28.000000,0.726415
0.090909,0.011494,1.233333,20.927245,1.875817,18.000000,0.552239
0.250000,0.281342,2.631579,20.924367,1.849754,29.000000,0.724638
0.066667,0.417650,1.937500,12.517220,1.876190,15.000000,0.659574
0.066667,0.266676,2.500000,26.409477,2.036782,30.000000,0.714286
0.062500,0.679514,2.050000,15.028341,1.915033,18.000000,0.672131
0.062500,0.841955,6.000000,18.507397,1.866667,16.000000,0.857143
0.066667,0.417650,1.937500,12.517220,1.876190,15.000000,0.659574
0.066667,0.053369,2.500000,26.409477,2.036782,30.000000,0.714286
0.142857,0.451716,3.000000,18.924075,1.866667,10.000000,0.750000
0.142857,0.197861,2.200000,20.337591,1.476190,7.000000,0.687500
0.142857,0.417946,1.833333,21.447708,1.476190,7.000000,0.647059
0.142857,0.291486,3.666667,16.469540,1.848485,12.000000,0.785714
0.142857,0.447931,3.875000,12.279592,1.742857,15.000000,0.794872
0.111111,1.000000,1.285714,16.213518,1.555556,9.000000,0.562500
0.111111,0.459697,2.250000,27.080124,2.070565,32.000000,0.692308
0.111111,1.000000,1.285714,16.213518,1.555556,9.000000,0.562500
0.111111,0.623901,2.250000,27.080124,2.070565,32.000000,0.692308
0.250000,0.369257,2.142857,18.126027,1.535714,8.000000,0.681818
0.100000,0.389986,2.520833,20.381374,1.989916,35.000000,0.715976
0.166667,0.398446,1.571429,26.744926,1.266667,6.000000,0.611111
0.166667,0.094340,2.833333,23.174504,1.527778,9.000000,0.739130
