chi,dp_norm,coh,stab,rad,size,ratio
0.090909,0.936455,8.500000,1.543906,2.016667,16.000000,0.894737
0.090909,0.030898,3.166667,0.984205,1.727273,11.000000,0.760000
0.090909,0.938269,8.500000,1.543906,2.016667,16.000000,0.894737
0.090909,0.030898,3.166667,0.984205,1.727273,11.000000,0.760000
0.250000,0.063939,2.000000,0.750000,1.333333,4.000000,0.666667
0.250000,0.030898,3.166667,0.984205,1.727273,11.000000,0.760000
0.142857,1.000000,3.333333,1.770311,1.555556,10.000000,0.769231
0.142857,0.131880,2.400000,1.933208,1.476190,7.000000,0.705882
0.125000,0.876538,2.461538,3.566240,1.695238,15.000000,0.711111
0.125000,0.035568,2.166667,3.255674,1.642857,8.000000,0.684211
0.125000,0.319040,6.812500,9.784496,2.092692,34.000000,0.872000
0.125000,0.890702,3.666667,4.065096,1.214286,8.000000,0.785714
0.125000,0.320448,6.812500,9.784496,2.092692,34.000000,0.872000
0.125000,0.890702,3.666667,4.065096,1.214286,8.000000,0.785714
0.125000,0.890702,3.666667,4.065096,1.214286,8.000000,0.785714
0.125000,0.319152,6.812500,9.784496,2.092692,34.000000,0.872000
0.125000,0.320289,6.812500,9.784496,2.092692,34.000000,0.872000
0.125000,0.890702,3.666667,4.065096,1.214286,8.000000,0.785714
0.250000,1.000000,2.000000,2.611740,1.333333,4.000000,0.666667
0.250000,0.542540,2.333333,3.544680,1.500000,8.000000,0.700000
0.200000,0.334181,3.000000,3.037157,1.400000,5.000000,0.750000
0.250000,0.729730,5.000000,4.228154,1.166667,4.000000,0.833333
0.250000,0.206451,6.812500,9.784496,2.092692,34.000000,0.872000
0.250000,0.209381,6.812500,9.784496,2.092692,34.000000,0.872000
0.250000,0.228970,6.812500,9.784496,2.092692,34.000000,0.872000
0.250000,0.206039,6.812500,9.784496,2.092692,34.000000,0.872000
0.142857,0.117938,6.812500,9.784496,2.092692,34.000000,0.872000
0.142857,0.121198,6.812500,9.784496,2.092692,34.000000,0.872000
0.142857,0.096051,6.812500,9.784496,2.092692,34.000000,0.872000
0.142857,0.121657,6.812500,9.784496,2.092692,34.000000,0.872000
0.142857,0.401298,1.090909,5.218417,1.476190,7.000000,0.521739
0.142857,0.140132,2.133333,7.530689,1.747253,14.000000,0.680851
0.200000,0.464233,4.000000,6.060749,1.200000,5.000000,0.800000
0.250000,0.075985,4.241379,18.176368,1.736453,29.000000,0.809211
0.166667,0.783696,15.000000,4.456682,1.355556,10.000000,0.937500
0.250000,0.078795,4.241379,18.176368,1.736453,29.000000,0.809211
0.250000,0.075940,4.241379,18.176368,1.736453,29.000000,0.809211
0.250000,0.076303,4.241379,18.176368,1.736453,29.000000,0.809211
0.222222,0.749477,6.333333,5.340944,1.469697,12.000000,0.863636
0.055556,0.696129,2.620690,6.443522,2.349206,28.000000,0.723810
0.055556,0.571847,3.687500,6.473820,1.745098,18.000000,0.786667
0.111111,0.010690,1.615385,8.022699,1.890000,25.000000,0.617647
0.058824,0.249852,3.153846,6.019717,1.786765,17.000000,0.759259
0.058824,0.039332,1.666667,9.155101,1.738562,18.000000,0.625000
0.250000,0.902973,2.500000,6.488139,1.166667,4.000000,0.714286
0.250000,0.467707,2.666667,6.258583,1.747253,14.000000,0.727273
0.166667,0.005250,5.500000,7.105416,1.266667,6.000000,0.846154
0.166667,0.007639,2.620690,6.443522,2.349206,28.000000,0.723810
0.058824,0.249852,3.153846,6.019717,1.786765,17.000000,0.759259
0.058824,0.242760,1.666667,9.155101,1.738562,18.000000,0.625000
0.266667,0.016500,1.666667,9.155101,1.738562,18.000000,0.625000
0.266667,0.056463,1.666667,9.155101,1.738562,18.000000,0.625000
0.071429,0.682368,1.318182,7.943607,1.868421,20.000000,0.568627
0.071429,0.058087,7.250000,7.238161,1.769231,14.000000,0.878788
0.200000,0.468579,1.090909,5.218417,1.476190,7.000000,0.521739
0.125000,0.237672,6.000000,6.036609,1.642857,8.000000,0.857143
0.142857,0.551488,2.969697,23.154434,1.791026,40.000000,0.748092
0.200000,0.726047,2.380952,6.570813,1.794118,17.000000,0.704225
0.200000,1.000000,1.600000,13.409581,1.200000,5.000000,0.615385
0.142857,0.551529,2.969697,23.154434,1.791026,40.000000,0.748092
0.142857,0.551482,2.969697,23.154434,1.791026,40.000000,0.748092
0.125000,0.611968,2.620690,6.443522,2.349206,28.000000,0.723810
0.125000,0.493413,1.555556,5.721142,1.500000,8.000000,0.608696
0.250000,0.774680,2.100000,5.562490,1.533333,10.000000,0.677419
0.125000,0.527622,2.620690,6.443522,2.349206,28.000000,0.723810
0.125000,0.493413,1.555556,5.721142,1.500000,8.000000,0.608696
0.285714,0.638230,1.615385,8.022699,1.890000,25.000000,0.617647
0.142857,0.551443,2.969697,23.154434,1.791026,40.000000,0.748092
0.052632,0.029103,4.875000,6.662325,2.222222,19.000000,0.829787
0.052632,0.984002,5.275000,23.575331,1.861522,44.000000,0.840637
0.200000,0.983302,6.733333,18.189151,1.703333,25.000000,0.870690
0.052632,1.000000,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984004,5.275000,23.575331,1.861522,44.000000,0.840637
0.250000,0.941531,3.113208,19.717168,1.768067,35.000000,0.756881
0.052632,0.029103,4.875000,6.662325,2.222222,19.000000,0.829787
0.052632,0.984004,5.275000,23.575331,1.861522,44.000000,0.840637
0.250000,0.983946,6.733333,18.189151,1.703333,25.000000,0.870690
0.250000,0.474773,3.214286,6.034489,1.791667,16.000000,0.762712
0.200000,0.983299,6.733333,18.189151,1.703333,25.000000,0.870690
0.052632,1.000000,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984017,5.275000,23.575331,1.861522,44.000000,0.840637
0.250000,0.983302,6.733333,18.189151,1.703333,25.000000,0.870690
0.250000,0.474773,3.214286,6.034489,1.791667,16.000000,0.762712
0.250000,0.474773,3.214286,6.034489,1.791667,16.000000,0.762712
0.250000,0.983280,6.733333,18.189151,1.703333,25.000000,0.870690
0.250000,0.943327,3.113208,19.717168,1.768067,35.000000,0.756881
0.058824,0.982741,4.755102,23.685514,1.866790,47.000000,0.826241
0.058824,0.030303,7.000000,8.162212,1.750000,17.000000,0.875000
0.250000,0.983299,6.733333,18.189151,1.703333,25.000000,0.870690
0.250000,0.474773,3.214286,6.034489,1.791667,16.000000,0.762712
0.200000,0.983946,6.733333,18.189151,1.703333,25.000000,0.870690
0.058824,0.982042,4.755102,23.685514,1.866790,47.000000,0.826241
0.058824,0.030303,7.000000,8.162212,1.750000,17.000000,0.875000
0.052632,1.000000,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984588,5.275000,23.575331,1.861522,44.000000,0.840637
0.250000,0.941538,3.113208,19.717168,1.768067,35.000000,0.756881
0.200000,0.983280,6.733333,18.189151,1.703333,25.000000,0.870690
0.052632,0.655039,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984017,5.275000,23.575331,1.861522,44.000000,0.840637
0.052632,0.984002,5.275000,23.575331,1.861522,44.000000,0.840637
0.052632,1.000000,1.961538,15.583726,1.730994,19.000000,0.662338
0.058824,0.982040,4.755102,23.685514,1.866790,47.000000,0.826241
0.058824,0.030303,7.000000,8.162212,1.750000,17.000000,0.875000
0.250000,0.941530,3.113208,19.717168,1.768067,35.000000,0.756881
0.052632,0.655039,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984004,5.275000,23.575331,1.861522,44.000000,0.840637
0.052632,0.029103,4.875000,6.662325,2.222222,19.000000,0.829787
0.052632,0.984017,5.275000,23.575331,1.861522,44.000000,0.840637
0.058824,0.982060,4.755102,23.685514,1.866790,47.000000,0.826241
0.058824,0.030303,7.000000,8.162212,1.750000,17.000000,0.875000
0.052632,0.029103,4.875000,6.662325,2.222222,19.000000,0.829787
0.052632,0.984588,5.275000,23.575331,1.861522,44.000000,0.840637
0.052632,0.655039,1.961538,15.583726,1.730994,19.000000,0.662338
0.052632,0.984588,5.275000,23.575331,1.861522,44.000000,0.840637
