thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,theta,stability_bin,pre_E_total,post_E_total
0,0.000000,0.000000,91.950293,0.000000,0.000000,106.257536,912.000000,868.035556,0.000000,4.927462,0.000000,2.463731,0.250000,60.000000,0.000000,0.000000,0.000000,1.330059
0,618.554406,0.000000,160.405166,0.000000,618.554406,174.712409,19281.000000,868.035556,2.142157,4.927462,1.071078,2.463731,0.083333,30.000000,0.000000,0.000000,21.060778,1.330059
0,12.842305,0.000000,31.513228,0.000000,12.842305,31.513228,165.777778,471.777778,3.950000,6.601250,1.975000,3.300625,0.250000,10.000000,0.000000,0.000000,0.261428,0.775855
0,4.691230,0.000000,28.348104,0.000000,11.856255,28.348104,156.244898,462.244898,3.950000,6.351250,1.975000,3.175625,0.166667,10.000000,0.000000,0.000000,0.242884,0.758284
0,3.129388,0.000000,-1.846801,0.000000,191.244145,150.583926,1036.000000,297.402778,5.282045,8.813688,2.641023,4.406844,0.100000,10.000000,0.000000,0.000000,1.003022,0.542626
0,-80.991868,0.000000,7.456173,0.000000,107.122889,159.886900,1036.000000,297.402778,5.282045,8.813688,2.641023,4.406844,0.100000,10.000000,0.000000,0.000000,1.003022,0.542626
0,181.513403,0.000000,27.179384,0.000000,188.678428,27.179384,4422.244898,155.857500,3.852500,6.288984,1.926250,3.144492,0.166667,60.000000,0.000000,0.000000,5.330159,0.333412
0,0.000000,0.000000,20.104363,0.000000,0.000000,20.104363,3492.000000,441.000000,0.000000,7.267510,0.000000,3.633755,0.111111,120.000000,0.000000,0.000000,0.000000,0.678363
0,16.605569,0.000000,-5.169963,0.000000,31.428951,38.546768,896.377959,461.734694,3.869583,7.867899,1.934792,3.933949,0.083333,60.000000,0.000000,0.000000,1.197568,0.712042
0,18.195196,0.000000,12.720915,0.000000,18.195196,12.720915,324.965278,44.125000,4.040909,7.357473,2.020455,3.678736,0.250000,60.000000,0.000000,0.000000,0.441468,0.212398
0,64.911436,0.000000,87.322641,0.000000,64.911436,87.322641,385.465278,102.086667,8.010284,8.582553,4.005142,4.291277,0.250000,50.000000,0.000000,0.000000,0.643991,0.300160
0,75.655237,0.000000,89.851038,0.000000,75.655237,89.851038,385.465278,102.086667,8.010284,8.582553,4.005142,4.291277,0.250000,50.000000,0.000000,0.000000,0.643991,0.300160
0,16.726065,0.000000,36.993739,0.000000,16.726065,36.993739,468.750000,218.173533,7.685457,6.002156,3.842728,3.001078,0.142857,200.000000,0.000000,0.000000,0.665653,0.393044
0,29.800573,0.000000,39.686820,0.000000,29.800573,39.686820,478.125000,60.385675,7.357473,8.323396,3.678736,4.161698,0.125000,200.000000,0.000000,0.000000,0.738618,0.241357
0,-17.056895,0.000000,-23.199313,0.000000,99.225097,89.931749,500.625000,111.472222,7.513479,10.963019,3.756740,5.481510,0.111111,250.000000,0.000000,0.000000,0.481886,0.356200
0,20.060059,0.000000,17.157142,0.000000,20.060059,32.622149,181.920000,56.956096,6.690332,7.716129,3.345166,3.858065,0.125000,200.000000,0.000000,0.000000,0.361150,0.224007
0,80.513344,0.000000,127.097722,0.000000,80.513344,127.097722,288.976916,112.578990,7.261010,9.494781,3.630505,4.747390,0.166667,30.000000,0.000000,0.000000,0.506703,0.334849
0,93.606558,0.000000,123.213856,0.000000,93.606558,123.213856,293.612024,118.997357,5.964099,7.587185,2.982049,3.793593,0.111111,30.000000,0.000000,0.000000,0.486800,0.305803
0,90.370412,0.000000,132.978477,0.000000,90.370412,132.978477,293.612024,118.997357,5.964099,7.587185,2.982049,3.793593,0.111111,30.000000,0.000000,0.000000,0.486800,0.305803
0,85.106626,0.000000,133.437785,0.000000,85.106626,133.437785,316.029258,135.726570,6.405396,9.314095,3.202698,4.657047,0.100000,30.000000,0.000000,0.000000,0.524196,0.355485
0,88.342771,0.000000,123.673165,0.000000,88.342771,123.673165,316.029258,135.726570,6.405396,9.314095,3.202698,4.657047,0.100000,30.000000,0.000000,0.000000,0.524196,0.355485
