pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
0.000000,0.000000,12.442746,0.000000,0.000000,12.442746,358.144057,308.960000,0.000000,2.512500,0.000000,1.256250,0.100000,40.000000,0.000000,0.000000,0.416739
0.000000,0.000000,12.460426,0.000000,0.000000,12.460426,388.938272,309.520000,0.000000,2.312500,0.000000,1.156250,0.125000,40.000000,0.000000,0.000000,0.408528
0.000000,0.000000,5.283480,0.000000,0.000000,5.283480,225.638889,129.816198,0.000000,2.333333,0.000000,1.166667,0.125000,40.000000,0.000000,0.000000,0.196965
10.929294,0.000000,5.321655,0.000000,10.929294,5.321655,258.938776,94.125000,4.196875,6.341953,2.098437,3.170977,0.125000,30.000000,0.000000,0.396437,0.252720
2.597716,0.000000,2.742495,0.000000,2.879716,2.742495,95.393086,58.928819,2.761591,7.692246,1.380795,3.846123,0.111111,130.000000,0.000000,0.128850,0.227222
9.988186,0.000000,7.834704,0.000000,9.988186,7.834704,238.461667,196.611111,5.929280,9.060206,2.964640,4.530103,0.166667,100.000000,0.000000,0.416904,0.421813
0.000000,0.000000,4.997822,0.000000,0.000000,4.997822,334.944444,80.571429,0.000000,9.825104,0.000000,4.912552,0.200000,200.000000,0.000000,0.000000,0.294008
1.624922,0.000000,3.489259,0.000000,1.906921,3.489259,76.200000,80.770089,2.959091,7.824916,1.479545,3.912458,0.333333,130.000000,0.000000,0.107727,0.256783
0.000000,0.000000,10.688186,0.000000,0.000000,10.688186,635.743827,220.611111,0.000000,9.378845,0.000000,4.689423,0.076923,200.000000,0.000000,0.000000,0.454070
8.547718,0.000000,7.937671,0.000000,9.808437,7.937671,233.975000,212.411737,5.521911,10.396347,2.760955,5.198174,0.125000,260.000000,0.000000,0.383863,0.471233
2.234623,0.000000,1.547531,0.000000,3.495342,1.547531,64.680000,38.716049,5.610547,11.502881,2.805273,5.751441,0.250000,260.000000,0.000000,0.177798,0.277989
6.050096,0.000000,4.402585,0.000000,6.050096,7.027882,173.944048,222.464826,21.845758,23.419319,10.922879,11.709660,0.052632,80.000000,10.000000,0.656517,0.747544
4.028204,0.000000,-2440.388849,0.000000,6.533683,2440.388849,216.124470,361.020438,24.461296,26.499233,12.230648,13.249617,0.047619,170.000000,10.000000,0.761252,0.988522
0.000000,0.000000,9.109972,0.000000,0.000000,9.109972,222.500000,223.080000,0.000000,1.924242,0.000000,0.962121,0.200000,40.000000,0.000000,0.000000,0.324730
0.000000,0.000000,1.411070,0.000000,0.000000,1.411070,56.000000,45.040000,0.000000,2.333333,0.000000,1.166667,0.250000,40.000000,0.000000,0.000000,0.101067
17.421609,0.000000,7.743959,0.000000,17.421609,7.743959,421.040000,53.649375,1.833333,6.211086,0.916667,3.105543,0.166667,100.000000,0.000000,0.537287,0.192000
0.000000,0.000000,5.528237,0.000000,0.000000,5.528237,238.500000,41.312500,0.000000,6.630187,0.000000,3.315094,0.250000,140.000000,0.000000,0.000000,0.185395
29.075523,0.000000,4.605120,0.000000,29.075523,4.605120,768.333333,53.649375,3.754762,6.211086,1.877381,3.105543,0.142857,50.000000,0.000000,0.927555,0.192000
31.096278,0.000000,16.266815,0.000000,31.096278,16.266815,786.000000,158.041667,4.033333,8.562474,2.016667,4.281237,0.166667,90.000000,0.000000,0.958351,0.372545
31.240400,0.000000,15.842784,0.000000,31.240400,15.842784,786.000000,158.041667,4.033333,8.562474,2.016667,4.281237,0.166667,90.000000,0.000000,1.058189,0.372545
39.657685,0.000000,2.942272,0.000000,46.296720,12.366341,1040.500000,85.875000,5.833453,8.060365,2.916727,4.030183,0.125000,40.000000,0.000000,1.458386,0.260836
-3.277554,0.000000,-5.925121,0.000000,3.361482,7.946882,65.109375,160.409722,5.640123,12.110282,2.820061,6.055141,0.142857,120.000000,0.000000,0.142341,0.435364
10.641303,0.000000,14.070644,0.000000,10.641303,14.070644,179.040000,223.500000,5.221771,15.705261,2.610885,7.852631,0.166667,120.000000,0.000000,0.362846,0.587033
13.575174,0.000000,13.949562,0.000000,13.575174,13.949562,179.040000,223.500000,5.221771,15.705261,2.610885,7.852631,0.166667,120.000000,0.000000,0.362846,0.587033
