chi,dp_norm,coh,stab,rad,size,ratio
0.111111,0.802459,2.291209,24.458325,2.065978,84.000000,0.696160
0.050000,0.294125,1.906250,13.631401,1.742105,20.000000,0.655914
0.050000,0.185917,1.577465,12.871055,1.858871,32.000000,0.612022
0.050000,0.294125,1.906250,13.631401,1.742105,20.000000,0.655914
0.058824,0.800035,3.666667,22.777436,2.058824,17.000000,0.785714
0.058824,0.680925,3.666667,22.777436,2.058824,17.000000,0.785714
0.142857,0.050000,2.428571,15.381790,1.190476,7.000000,0.708333
0.142857,0.185917,1.577465,12.871055,1.858871,32.000000,0.612022
0.117647,0.178934,1.852941,21.849702,1.558824,17.000000,0.649485
0.117647,0.178809,1.852941,21.849702,1.558824,17.000000,0.649485
0.047619,0.202399,1.685714,12.315248,1.719048,21.000000,0.627660
0.090909,0.095500,1.571429,20.158077,1.636364,11.000000,0.611111
0.090909,0.095500,1.571429,20.158077,1.636364,11.000000,0.611111
0.200000,0.051439,1.367089,21.124377,1.884470,33.000000,0.577540
0.055556,0.032681,1.650000,18.721297,1.684211,20.000000,0.622642
0.055556,0.229613,2.133333,21.300490,1.607843,18.000000,0.680851
0.100000,0.033188,1.906250,13.631401,1.742105,20.000000,0.655914
0.055556,0.032681,1.650000,18.721297,1.684211,20.000000,0.622642
0.055556,0.232157,2.133333,21.300490,1.607843,18.000000,0.680851
0.142857,0.145482,2.666667,13.832164,1.464286,8.000000,0.727273
0.142857,0.834664,15.000000,15.681855,1.285714,7.000000,0.937500
0.166667,0.106347,1.838710,18.080599,1.725146,19.000000,0.647727
0.055556,0.527006,1.416667,14.686043,1.764493,24.000000,0.586207
0.055556,0.073453,1.777778,20.000224,1.581699,18.000000,0.640000
0.166667,0.616803,1.903226,12.807667,2.027668,23.000000,0.655556
0.250000,0.261118,1.660377,15.032854,1.749288,27.000000,0.624113
0.050000,0.005848,2.200000,23.690283,1.615789,20.000000,0.687500
0.050000,0.124375,1.613636,20.682652,1.690476,21.000000,0.617391
0.250000,1.000000,1.952381,11.545551,1.741667,16.000000,0.661290
0.050000,0.124375,1.613636,20.682652,1.690476,21.000000,0.617391
0.050000,0.006536,2.200000,23.690283,1.615789,20.000000,0.687500
