chi,dp_norm,coh,stab,rad,size,ratio
0.142857,0.577995,1.894737,13.149299,1.739130,24.000000,0.654545
0.133333,0.981814,3.222222,13.553878,2.039778,47.000000,0.763158
0.125000,0.649354,2.200000,7.967333,1.214286,8.000000,0.687500
0.133333,0.833678,2.711111,11.906660,2.215854,41.000000,0.730539
0.250000,0.238380,1.805556,11.840697,1.718615,22.000000,0.643564
0.166667,0.768286,2.305085,13.113529,2.227273,44.000000,0.697436
0.166667,0.333333,1.833333,8.974951,1.266667,6.000000,0.647059
0.125000,0.151113,4.125000,8.136885,1.436364,11.000000,0.804878
0.125000,0.387821,2.000000,6.498359,1.571429,8.000000,0.666667
0.062500,0.481389,1.565217,13.933508,1.741667,16.000000,0.610169
0.250000,0.481389,1.565217,13.933508,1.741667,16.000000,0.610169
0.125000,1.000000,2.800000,12.848714,1.571429,8.000000,0.736842
0.071429,0.969816,1.500000,13.346208,1.824176,14.000000,0.600000
0.071429,0.927519,1.926471,14.461961,2.017544,39.000000,0.658291
0.111111,1.000000,2.142857,14.837916,1.694444,9.000000,0.681818
0.076923,0.028571,2.083333,14.777690,1.679487,13.000000,0.675676
0.076923,0.178115,3.142857,12.357158,2.009195,30.000000,0.758621
0.142857,1.000000,2.000000,11.680009,1.619048,7.000000,0.666667
0.166667,0.387216,2.133333,13.850173,1.885714,15.000000,0.680851
0.166667,0.921874,1.500000,13.346208,1.824176,14.000000,0.600000
0.200000,0.897787,2.545455,10.677751,1.705128,13.000000,0.717949
0.083333,0.218217,2.444444,11.820717,1.818182,12.000000,0.709677
0.083333,0.134593,4.166667,10.376487,1.483516,14.000000,0.806452
0.071429,0.419147,1.473684,11.158645,2.266667,15.000000,0.595745
0.071429,0.221937,1.631579,14.176997,1.813187,14.000000,0.620000
0.166667,0.221937,1.631579,14.176997,1.813187,14.000000,0.620000
0.100000,0.139617,4.666667,13.971015,1.688889,10.000000,0.823529
0.111111,0.560946,2.133333,13.850173,1.885714,15.000000,0.680851
0.071429,0.221937,1.631579,14.176997,1.813187,14.000000,0.620000
0.071429,0.238740,2.911765,12.779639,1.941935,31.000000,0.744361
0.066667,0.027610,2.460000,16.246513,2.045519,38.000000,0.710983
0.200000,0.000303,1.550000,16.393021,1.813187,14.000000,0.607843
0.250000,0.044209,2.460000,15.603711,2.045519,38.000000,0.710983
0.142857,0.522013,1.473684,11.158645,2.266667,15.000000,0.595745
0.071429,0.014925,2.285714,14.575451,1.648352,14.000000,0.695652
0.071429,0.640540,1.882353,9.089258,1.919118,17.000000,0.653061
0.111111,0.071604,5.000000,13.588385,1.500000,9.000000,0.833333
0.090909,0.422573,1.272727,25.085582,2.266667,15.000000,0.560000
0.111111,0.127583,1.473684,11.158645,2.266667,15.000000,0.595745
0.111111,0.120361,5.000000,14.359787,1.500000,9.000000,0.833333
0.058824,0.640540,1.882353,9.089258,1.919118,17.000000,0.653061
0.058824,0.042428,2.237288,17.797450,2.050000,40.000000,0.691099
0.090909,1.000000,1.272727,25.085582,2.266667,15.000000,0.560000
0.058824,0.024698,2.314815,17.076224,2.045884,39.000000,0.698324
0.083333,0.296980,2.911765,12.779639,1.941935,31.000000,0.744361
0.083333,1.000000,1.473684,11.158645,2.266667,15.000000,0.595745
0.083333,0.217250,1.473684,11.158645,2.266667,15.000000,0.595745
0.083333,0.296980,2.911765,12.779639,1.941935,31.000000,0.744361
0.066667,0.158174,2.571429,14.807485,1.657143,15.000000,0.720000
0.066667,0.646883,1.842105,9.856282,1.908497,18.000000,0.648148
0.055556,0.147103,2.509804,18.777945,1.960961,37.000000,0.715084
0.055556,0.646883,1.842105,9.856282,1.908497,18.000000,0.648148
0.066667,0.023256,1.750000,17.354346,2.011696,19.000000,0.636364
0.066667,1.000000,2.058824,15.016206,1.800000,15.000000,0.673077
0.250000,0.532868,3.000000,19.229245,1.992888,38.000000,0.750000
0.250000,0.854343,3.000000,19.229245,1.992888,38.000000,0.750000
0.100000,0.441242,3.600000,20.045971,1.688889,10.000000,0.782609
0.100000,0.854343,3.000000,19.229245,1.992888,38.000000,0.750000
0.166667,0.288712,1.833333,9.917244,1.266667,6.000000,0.647059
0.052632,0.041502,1.750000,17.354346,2.011696,19.000000,0.636364
0.052632,0.532868,3.000000,19.229245,1.992888,38.000000,0.750000
0.052632,0.041502,1.750000,17.354346,2.011696,19.000000,0.636364
0.052632,0.854343,3.000000,19.229245,1.992888,38.000000,0.750000
0.062500,0.384028,2.208333,16.102777,1.608333,16.000000,0.688312
0.062500,0.031635,1.425000,18.327439,1.837945,23.000000,0.587629
0.166667,0.031635,1.425000,18.327439,1.837945,23.000000,0.587629
0.166667,0.221945,2.166667,16.251113,1.133333,6.000000,0.684211
0.090909,0.227293,2.237288,17.797450,2.050000,40.000000,0.691099
0.062500,0.159447,2.208333,16.102777,1.608333,16.000000,0.688312
0.062500,0.031635,1.425000,18.327439,1.837945,23.000000,0.587629
0.052632,0.041667,1.909091,18.552961,2.011696,19.000000,0.656250
0.052632,0.031635,1.425000,18.327439,1.837945,23.000000,0.587629
0.083333,0.932444,3.000000,19.229245,1.992888,38.000000,0.750000
0.083333,0.032258,5.500000,14.946829,1.500000,12.000000,0.846154
0.083333,0.031635,1.425000,18.327439,1.837945,23.000000,0.587629
0.166667,0.355574,2.166667,14.833872,1.133333,6.000000,0.684211
0.166667,0.108927,1.750000,17.354346,2.011696,19.000000,0.636364
0.166667,0.220409,1.823529,12.593959,1.530303,12.000000,0.645833
0.200000,0.196332,1.875000,12.402819,1.583333,9.000000,0.652174
0.142857,0.272727,3.000000,12.775586,1.619048,7.000000,0.750000
0.142857,0.572113,1.333333,28.796150,1.868132,14.000000,0.571429
0.142857,0.272727,3.000000,12.775586,1.619048,7.000000,0.750000
0.142857,0.040226,1.333333,28.796150,1.868132,14.000000,0.571429
0.250000,0.595953,1.857143,16.206224,1.888889,19.000000,0.650000
0.250000,0.849199,2.333333,15.444315,1.300000,5.000000,0.700000
0.083333,0.609377,1.909091,18.552961,2.011696,19.000000,0.656250
0.083333,0.418852,1.857143,25.236685,1.727273,12.000000,0.650000
0.111111,0.251993,1.631579,14.720355,1.530303,12.000000,0.620000
0.100000,1.000000,2.208333,16.102777,1.608333,16.000000,0.688312
0.100000,0.357621,3.142857,17.482641,1.577778,10.000000,0.758621
0.166667,0.653969,2.000000,21.137749,1.800000,15.000000,0.666667
0.062500,0.595953,1.857143,16.206224,1.888889,19.000000,0.650000
0.062500,0.048382,3.062500,14.261669,1.691176,17.000000,0.753846
0.083333,0.609377,1.909091,18.552961,2.011696,19.000000,0.656250
0.083333,0.221211,1.857143,25.236685,1.727273,12.000000,0.650000
0.100000,0.164969,2.208333,16.102777,1.608333,16.000000,0.688312
0.100000,0.357621,3.142857,17.482641,1.577778,10.000000,0.758621
0.166667,0.172228,1.500000,20.135662,1.837945,23.000000,0.600000
0.166667,0.100372,2.681818,15.608395,1.956710,22.000000,0.728395
0.111111,0.216786,2.458333,16.184094,1.956710,22.000000,0.710843
0.200000,0.008085,1.736842,18.651998,1.576923,13.000000,0.634615
0.076923,0.065246,2.153846,25.259926,1.671429,21.000000,0.682927
