chi,dp_norm,coh,stab,rad,size,ratio
0.250000,0.961517,5.444444,1.500221,1.669118,17.000000,0.844828
0.250000,0.102972,1.750000,2.215787,1.533333,6.000000,0.636364
0.200000,0.968727,1.750000,2.215787,1.533333,6.000000,0.636364
0.111111,0.151756,5.300000,2.581822,1.495238,15.000000,0.841270
0.166667,0.513227,1.750000,3.160392,1.533333,6.000000,0.636364
0.166667,0.499821,8.000000,2.384358,1.694444,9.000000,0.888889
0.176471,0.284845,2.750000,2.560796,1.757576,12.000000,0.733333
0.058824,0.107419,2.173913,5.090619,1.720588,17.000000,0.684932
0.058824,0.772500,2.428571,4.693108,1.750000,17.000000,0.708333
0.062500,0.702683,2.722222,3.832233,1.691667,16.000000,0.731343
0.062500,0.326240,2.222222,3.411194,1.908497,18.000000,0.689655
0.200000,0.253611,2.222222,3.411194,1.908497,18.000000,0.689655
0.111111,0.751719,2.387097,6.092677,1.839827,22.000000,0.704762
0.066667,0.164181,2.060606,6.477946,1.773333,25.000000,0.673267
0.066667,0.322749,3.166667,6.012123,1.761905,15.000000,0.760000
0.133333,0.554104,2.222222,3.411194,1.908497,18.000000,0.689655
0.111111,0.673829,2.142857,5.751405,1.666667,9.000000,0.681818
0.090909,0.041009,4.058824,5.416072,1.778947,20.000000,0.802326
0.090909,0.686835,1.571429,7.004170,1.848485,22.000000,0.611111
0.200000,0.192423,3.153846,4.161280,1.685714,15.000000,0.759259
0.103448,0.623699,2.066667,5.973183,1.754941,23.000000,0.673913
0.103448,0.495707,2.387097,6.092677,1.839827,22.000000,0.704762
0.111111,0.125173,1.846154,5.620313,1.862745,18.000000,0.648649
0.250000,0.739130,4.000000,5.986254,1.333333,4.000000,0.800000
0.250000,0.019259,1.580645,5.047000,1.900585,19.000000,0.612500
0.111111,0.025641,3.583333,6.293223,1.970760,19.000000,0.781818
0.125000,0.528920,3.153846,4.161280,1.685714,15.000000,0.759259
0.125000,0.826103,2.222222,3.411194,1.908497,18.000000,0.689655
0.200000,0.295673,5.500000,6.320356,1.709091,11.000000,0.846154
0.043478,0.276829,6.000000,12.830634,1.671937,23.000000,0.857143
0.142857,1.000000,1.741935,7.597242,1.904762,21.000000,0.635294
0.166667,0.718949,12.000000,6.755460,1.200000,6.000000,0.923077
0.166667,0.230534,4.380952,13.010308,1.743333,25.000000,0.814159
0.037037,0.566522,6.000000,13.309206,1.690476,28.000000,0.857143
0.037037,0.455350,2.031250,14.212272,2.034188,27.000000,0.670103
0.086957,1.000000,1.902439,8.365326,1.996923,26.000000,0.655462
0.100000,0.285597,2.875000,8.215807,1.533333,10.000000,0.741935
0.066667,0.368583,5.636364,10.925437,1.896104,22.000000,0.849315
0.142857,0.372881,5.333333,15.497727,1.960114,27.000000,0.842105
0.166667,0.752390,2.000000,8.551012,1.466667,6.000000,0.666667
0.166667,0.447820,2.650000,13.212349,1.871429,21.000000,0.726027
0.166667,0.076923,1.740000,10.920758,1.954416,27.000000,0.635036
0.125000,0.634517,1.869565,12.643753,1.907692,26.000000,0.651515
0.250000,0.050505,4.000000,9.122844,1.333333,4.000000,0.800000
0.125000,0.214333,2.800000,7.578514,1.500000,8.000000,0.736842
0.125000,0.015603,3.857143,16.424156,2.034409,31.000000,0.794118
0.200000,0.041590,3.583333,6.293223,1.970760,19.000000,0.781818
0.200000,0.614705,2.000000,9.162953,1.800000,16.000000,0.666667
0.166667,0.247509,2.452381,13.409013,1.963218,30.000000,0.710345
0.166667,0.195064,2.750000,3.971256,1.266667,6.000000,0.733333
0.100000,0.084900,1.875000,11.893894,1.692308,13.000000,0.652174
