chi,dp_norm,coh,stab,rad,size,ratio
0.100000,0.845040,2.000000,2.238552,1.622222,10.000000,0.666667
0.100000,0.086936,2.500000,2.339785,1.736842,19.000000,0.714286
0.142857,0.825889,3.444444,2.447329,1.876190,15.000000,0.775000
0.142857,0.809596,2.142857,2.301573,1.285714,7.000000,0.681818
0.066667,0.825889,3.444444,2.447329,1.876190,15.000000,0.775000
0.066667,0.404356,2.260870,2.449885,1.712418,18.000000,0.693333
0.111111,0.433913,2.285714,3.735225,1.611111,9.000000,0.695652
0.111111,0.857406,3.500000,2.988455,1.921569,18.000000,0.777778
0.125000,0.514383,2.260870,2.449885,1.712418,18.000000,0.693333
0.125000,0.138922,2.900000,3.640442,1.721014,24.000000,0.743590
0.181818,1.000000,3.500000,3.713337,1.545455,11.000000,0.777778
0.125000,0.339054,2.647059,9.152217,1.838235,17.000000,0.725806
0.125000,0.199310,2.647059,9.152217,1.838235,17.000000,0.725806
0.250000,0.203281,2.111111,5.411436,1.709091,11.000000,0.678571
0.100000,0.203281,2.111111,5.411436,1.709091,11.000000,0.678571
0.250000,0.203281,2.111111,5.411436,1.709091,11.000000,0.678571
0.250000,0.486239,3.000000,7.563054,1.000000,4.000000,0.750000
0.100000,0.299964,1.722222,4.680510,1.847619,15.000000,0.632653
0.071429,0.131588,3.000000,6.049128,1.760870,24.000000,0.750000
0.071429,0.530079,2.500000,13.244572,1.809524,21.000000,0.714286
0.071429,0.131588,3.000000,6.049128,1.760870,24.000000,0.750000
0.071429,0.561365,2.500000,13.244572,1.809524,21.000000,0.714286
0.066667,0.399355,4.444444,12.378428,2.314286,35.000000,0.816327
0.066667,0.303938,2.117647,5.366163,1.657143,15.000000,0.679245
0.066667,0.303938,2.117647,5.366163,1.657143,15.000000,0.679245
0.066667,0.414439,4.444444,12.378428,2.314286,35.000000,0.816327
0.142857,0.333333,1.666667,4.039941,1.523810,7.000000,0.625000
0.066667,0.337892,1.575758,8.299514,1.805263,20.000000,0.611765
0.100000,0.381574,5.629630,13.853526,2.311538,40.000000,0.849162
0.285714,0.211813,3.909091,21.232855,2.349153,60.000000,0.796296
0.066667,0.610081,2.250000,11.580593,1.657143,15.000000,0.692308
0.125000,0.226633,3.909091,21.232855,2.349153,60.000000,0.796296
0.285714,0.226633,3.909091,21.232855,2.349153,60.000000,0.796296
0.100000,0.365305,5.629630,13.853526,2.311538,40.000000,0.849162
0.285714,0.456799,1.981481,12.089409,1.893145,32.000000,0.664596
0.125000,0.211813,3.909091,21.232855,2.349153,60.000000,0.796296
0.083333,0.511271,1.562500,11.242025,1.727273,12.000000,0.609756
0.083333,0.474733,2.437500,12.141454,1.675000,16.000000,0.709091
0.200000,0.342195,2.192771,15.925248,2.097789,49.000000,0.686792
0.138889,0.091639,1.575758,8.299514,1.805263,20.000000,0.611765
0.138889,0.694693,5.074074,12.918786,2.317212,38.000000,0.835366
0.200000,0.130258,1.828571,8.879109,1.826087,23.000000,0.646465
0.138889,0.705212,5.074074,12.918786,2.317212,38.000000,0.835366
0.138889,0.091639,1.575758,8.299514,1.805263,20.000000,0.611765
0.083333,0.201797,2.153846,12.196044,1.636364,12.000000,0.682927
0.083333,0.377275,3.916667,12.471065,1.654412,17.000000,0.796610
0.200000,0.313485,1.785714,11.230327,1.545455,11.000000,0.641026
0.200000,0.284380,3.615385,13.218112,1.654412,17.000000,0.783333
