chi,dp_norm,coh,stab,rad,size,ratio
0.166667,0.997814,11.000000,1.353333,1.958621,30.000000,0.916667
0.166667,0.409046,1.857143,0.995833,1.133333,6.000000,0.650000
0.250000,0.989500,7.555556,0.684211,1.649123,19.000000,0.883117
0.250000,0.125973,5.000000,2.177533,1.866667,16.000000,0.833333
0.250000,0.133185,5.000000,2.177533,1.866667,16.000000,0.833333
0.250000,0.148724,5.000000,2.177533,1.866667,16.000000,0.833333
0.166667,0.078432,1.800000,3.901649,1.400000,6.000000,0.642857
0.166667,0.078432,1.800000,3.901649,1.400000,6.000000,0.642857
0.166667,0.078432,1.800000,3.901649,1.400000,6.000000,0.642857
0.250000,0.134137,5.333333,2.429285,1.779221,22.000000,0.842105
0.066667,0.163780,3.076923,4.256643,1.619048,15.000000,0.754717
0.200000,1.000000,3.843750,4.255031,1.875862,30.000000,0.793548
0.200000,1.000000,5.333333,2.429285,1.779221,22.000000,0.842105
0.125000,0.005691,1.722222,5.403709,1.679487,13.000000,0.632653
0.125000,0.514484,2.000000,6.538271,1.357143,8.000000,0.666667
0.111111,0.200000,1.700000,6.092071,1.527778,9.000000,0.629630
0.166667,0.483503,2.000000,5.469037,1.333333,6.000000,0.666667
0.142857,0.848844,2.000000,5.512986,1.428571,7.000000,0.666667
0.166667,0.606681,2.250000,6.014085,1.400000,6.000000,0.692308
0.142857,0.349398,2.166667,7.270506,1.380952,7.000000,0.684211
0.166667,0.462330,3.000000,6.705638,1.400000,6.000000,0.750000
0.166667,0.612931,2.400000,6.841949,1.900000,16.000000,0.705882
0.062500,0.023770,1.652174,9.688706,1.708333,16.000000,0.622951
0.062500,0.028672,3.000000,5.428777,2.035088,19.000000,0.750000
0.066667,0.310562,2.307692,5.395393,1.714286,15.000000,0.697674
0.066667,0.205953,1.454545,8.446675,1.723810,15.000000,0.592593
0.076923,0.601449,2.000000,5.085963,1.717949,13.000000,0.666667
0.111111,1.000000,3.000000,5.428777,2.035088,19.000000,0.750000
0.066667,1.000000,2.588235,6.078404,2.047368,20.000000,0.721311
0.066667,0.494050,3.083333,7.535492,1.761905,15.000000,0.755102
0.071429,0.454551,3.083333,7.535492,1.761905,15.000000,0.755102
0.050000,0.081326,2.863636,8.507048,1.747368,20.000000,0.741176
0.076923,0.390360,2.863636,8.507048,1.747368,20.000000,0.741176
0.076923,0.362312,1.647059,11.696307,1.679487,13.000000,0.622222
0.200000,0.419041,2.000000,5.137317,1.238095,7.000000,0.666667
0.200000,0.023256,4.153846,12.652558,1.905263,20.000000,0.805970
0.153846,0.375975,1.850000,11.414141,2.034392,28.000000,0.649123
0.142857,0.427480,2.600000,9.046602,1.380952,7.000000,0.722222
0.050000,0.405251,4.153846,14.051588,1.905263,20.000000,0.805970
0.111111,0.308127,2.200000,7.847777,1.083333,9.000000,0.687500
0.111111,0.165164,1.492537,16.429543,2.305832,38.000000,0.598802
0.111111,0.129848,1.492537,16.429543,2.305832,38.000000,0.598802
0.111111,0.308127,2.200000,7.847777,1.083333,9.000000,0.687500
0.125000,0.635850,2.800000,13.789083,1.571429,8.000000,0.736842
0.125000,0.107437,1.750000,18.325366,1.500000,8.000000,0.636364
0.250000,0.910658,7.333333,5.468662,1.214286,8.000000,0.880000
0.100000,0.213473,1.366197,11.876328,1.840726,32.000000,0.577381
0.100000,0.096147,2.000000,8.786764,1.111111,10.000000,0.666667
0.080000,0.793615,1.863636,16.033677,2.251613,31.000000,0.650794
0.200000,0.940588,1.850000,11.414141,2.034392,28.000000,0.649123
0.083333,0.367199,1.181818,15.126504,1.742424,12.000000,0.541667
0.080000,0.167626,1.863636,16.033677,2.251613,31.000000,0.650794
0.058824,0.155508,1.782609,12.314574,1.726667,25.000000,0.640625
0.100000,0.212668,1.904762,9.667095,1.111111,10.000000,0.655738
