thread_id,pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,theta,stability_bin,pre_E_total,post_E_total
0,85.803425,0.000000,288.947203,0.000000,98.398216,291.516832,2272.750000,8339.111111,2.928571,2.470588,1.464286,1.235294,0.142857,40.000000,0.000000,0.000000,2.934051,10.807196
0,78.995297,0.000000,328.211844,0.000000,91.590088,330.781473,2272.750000,8339.111111,2.928571,2.470588,1.464286,1.235294,0.142857,40.000000,0.000000,0.000000,2.934051,10.807196
0,-21.271117,0.000000,-0.018768,0.000000,34.656252,13.281198,76.126984,119.777778,3.457143,3.175000,1.728571,1.587500,0.200000,30.000000,0.000000,0.000000,0.133105,0.204763
0,20.593221,0.000000,10.813526,0.000000,20.593221,10.813526,471.055556,165.437500,3.000000,3.642857,1.500000,1.821429,0.250000,20.000000,0.000000,0.000000,0.622786,0.256287
0,14.919726,0.000000,12.317576,0.000000,14.919726,12.317576,471.055556,165.437500,3.000000,3.642857,1.500000,1.821429,0.250000,20.000000,0.000000,0.000000,0.622786,0.256287
0,-4.873163,0.000000,3.072511,0.000000,4.873163,3.072511,70.777778,152.444444,3.825000,1.142857,1.912500,0.571429,0.200000,10.000000,0.000000,0.000000,0.095957,0.000000
0,47.373923,0.000000,-3.740957,0.000000,47.373923,3.740957,1197.136752,37.830450,3.307692,1.615385,1.653846,0.807692,0.142857,40.000000,0.000000,0.000000,1.863370,0.000000
0,47.828783,0.000000,-3.740957,0.000000,47.828783,3.740957,1197.136752,37.830450,3.307692,1.615385,1.653846,0.807692,0.142857,40.000000,0.000000,0.000000,1.863370,0.000000
0,-37.726879,0.000000,31.686623,0.000000,37.726879,57.509789,58.682540,512.222222,3.857143,3.214286,1.928571,1.607143,0.285714,40.000000,0.000000,0.000000,0.143807,0.994497
0,1.357030,0.000000,-3.740957,0.000000,2.752114,3.740957,187.034722,37.830450,2.000000,1.615385,1.000000,0.807692,0.200000,50.000000,0.000000,0.000000,0.240536,0.000000
0,-4.622464,0.000000,3.072511,0.000000,4.622464,3.072511,70.777778,152.444444,3.825000,1.142857,1.912500,0.571429,0.200000,10.000000,0.000000,0.000000,0.095957,0.000000
0,5.767641,0.000000,13.932907,0.000000,12.372141,13.932907,224.666667,230.816327,3.777778,3.500000,1.888889,1.750000,0.200000,40.000000,0.000000,0.000000,0.208715,0.377163
0,0.906634,0.000000,1.813567,0.000000,4.200597,1.813567,121.437500,73.469388,3.698413,1.222222,1.849206,0.611111,0.142857,10.000000,0.000000,0.000000,0.099244,0.000000
0,5.336413,0.000000,-3.740957,0.000000,5.336413,3.740957,187.034722,37.830450,2.000000,1.615385,1.000000,0.807692,0.200000,50.000000,0.000000,0.000000,0.294383,0.000000
0,2.584300,0.000000,0.000000,0.000000,3.979383,0.000000,222.222222,0.000000,2.000000,0.000000,1.000000,0.000000,1.000000,50.000000,0.000000,0.000000,0.325530,0.000000
0,2.471572,0.000000,13.760998,0.000000,9.076071,13.760998,224.666667,230.816327,3.777778,3.500000,1.888889,1.750000,0.200000,40.000000,0.000000,0.000000,0.208715,0.377163
0,-0.686894,0.000000,1.813567,0.000000,2.607068,1.813567,121.437500,73.469388,3.698413,1.222222,1.849206,0.611111,0.142857,10.000000,0.000000,0.000000,0.099244,0.000000
0,-2.493387,0.000000,28.769880,0.000000,53.433982,54.593046,58.682540,512.222222,3.857143,3.214286,1.928571,1.607143,0.285714,40.000000,0.000000,0.000000,0.143807,0.994497
0,62.811704,0.000000,0.000000,0.000000,62.811704,0.000000,1600.000000,0.000000,2.000000,0.000000,1.000000,0.000000,1.000000,90.000000,0.000000,0.000000,1.990804,0.000000
0,45.146280,0.000000,6.261717,0.000000,45.146280,6.261717,957.000000,29.752066,2.000000,2.222222,1.000000,1.111111,0.200000,110.000000,0.000000,0.000000,1.445110,0.000000
0,11.842669,0.000000,-2.405080,0.000000,11.842669,2.405080,200.923611,43.350000,2.000000,1.133333,1.000000,0.566667,0.200000,110.000000,0.000000,0.000000,0.276682,0.000000
0,39.297894,0.000000,6.432836,0.000000,39.297894,6.432836,957.000000,29.752066,2.000000,2.222222,1.000000,1.111111,0.200000,110.000000,0.000000,0.000000,1.018275,0.000000
0,15.077285,0.000000,6.800809,0.000000,15.077285,6.800809,320.142857,286.882716,3.484127,1.954545,1.742063,0.977273,0.142857,60.000000,0.000000,0.000000,0.465657,0.000000
0,31.157083,0.000000,3.322400,0.000000,31.157083,8.132561,726.173611,97.350000,2.000000,3.133333,1.000000,1.566667,0.111111,110.000000,0.000000,0.000000,0.969298,0.175503
0,22.194421,0.000000,8.216333,0.000000,22.194421,8.216333,431.241124,70.312066,2.220779,3.555556,1.110390,1.777778,0.142857,30.000000,0.000000,0.000000,0.609146,0.149958
0,24.509331,0.000000,0.232020,0.000000,24.509331,5.042181,585.000000,97.350000,1.777778,3.133333,0.888889,1.566667,0.250000,180.000000,0.000000,0.000000,0.759504,0.175503
0,22.212352,0.000000,8.045214,0.000000,22.212352,8.045214,431.241124,70.312066,2.220779,3.555556,1.110390,1.777778,0.142857,30.000000,0.000000,0.000000,0.609146,0.149958
0,14.922599,0.000000,6.789383,0.000000,14.922599,6.789383,320.142857,286.882716,3.484127,1.954545,1.742063,0.977273,0.142857,60.000000,0.000000,0.000000,0.465657,0.000000
0,2.667377,0.000000,6.383934,0.000000,2.667377,6.383934,88.230104,141.120000,2.018182,1.000000,1.009091,0.500000,0.100000,30.000000,0.000000,0.000000,0.149155,0.000000
0,-6.361100,0.000000,2.620127,0.000000,6.361100,2.620127,216.961111,173.611111,2.833333,1.100000,1.416667,0.550000,0.100000,60.000000,0.000000,0.000000,0.112486,0.000000
0,7.909057,0.000000,13.975223,0.000000,7.909057,13.975223,69.449112,181.800473,2.718182,3.000000,1.359091,1.500000,0.100000,30.000000,0.000000,0.000000,0.143768,0.295963
0,7.912523,0.000000,13.831823,0.000000,7.912523,13.831823,69.449112,181.800473,2.718182,3.000000,1.359091,1.500000,0.100000,30.000000,0.000000,0.000000,0.143768,0.295963
0,11.886958,0.000000,0.038607,0.000000,11.886958,0.038607,364.923469,149.004591,2.950000,1.884615,1.475000,0.942308,0.111111,90.000000,0.000000,0.000000,0.509542,0.000000
0,12.205282,0.000000,-0.154068,0.000000,12.205282,0.154068,364.923469,149.004591,2.950000,1.884615,1.475000,0.942308,0.111111,90.000000,0.000000,0.000000,0.509542,0.000000
0,-4.153566,0.000000,1.618906,0.000000,4.153566,1.618906,99.595920,110.250000,3.317308,1.111111,1.658654,0.555556,0.142857,130.000000,0.000000,0.000000,0.113803,0.000000
0,12.323895,0.000000,23.272899,0.000000,34.755572,23.272899,111.166667,45.046875,2.550000,1.916667,1.275000,0.958333,0.125000,140.000000,0.000000,0.000000,0.182912,0.000000
0,93.628354,0.000000,-1.380723,0.000000,132.757502,1.380723,4264.111111,171.132716,3.555556,1.964286,1.777778,0.982143,0.125000,200.000000,0.000000,0.000000,4.915429,0.000000
0,9.431641,0.000000,24.343403,0.000000,31.863317,24.343403,111.166667,45.046875,2.550000,1.916667,1.275000,0.958333,0.125000,140.000000,0.000000,0.000000,0.182912,0.000000
0,126.975486,0.000000,-1.339857,0.000000,166.104633,1.339857,4264.111111,171.132716,3.555556,1.964286,1.777778,0.982143,0.125000,200.000000,0.000000,0.000000,4.915429,0.000000
0,0.003934,0.000000,3.909617,0.000000,1.145523,3.909617,192.184619,304.222222,2.630952,1.812500,1.315476,0.906250,0.222222,10.000000,0.000000,0.000000,0.264797,0.000000
0,5.518294,0.000000,8.647857,0.000000,12.551573,8.647857,293.938622,229.687500,1.125000,1.000000,0.562500,0.500000,0.090909,40.000000,0.000000,0.000000,0.322663,0.000000
0,21.695204,0.000000,24.773671,0.000000,21.695204,24.773671,66.098778,65.812500,2.583333,1.923077,1.291667,0.961538,0.111111,10.000000,0.000000,0.000000,0.106698,0.000000
0,22.770155,0.000000,24.749485,0.000000,22.770155,24.749485,66.098778,65.812500,2.583333,1.923077,1.291667,0.961538,0.111111,10.000000,0.000000,0.000000,0.106698,0.000000
0,1.262087,0.000000,0.000000,0.000000,1.262087,0.000000,44.563014,0.000000,0.766667,0.000000,0.383333,0.000000,0.111111,10.000000,0.000000,0.000000,0.015333,0.000000
0,-0.030287,0.000000,5.007697,0.000000,1.179744,5.007697,192.184619,304.222222,2.630952,1.812500,1.315476,0.906250,0.222222,10.000000,0.000000,0.000000,0.264797,0.000000
0,-1.232499,0.000000,0.000000,0.000000,2.607215,0.000000,60.477511,0.000000,1.162500,0.000000,0.581250,0.000000,0.100000,10.000000,0.000000,0.000000,0.068178,0.000000
0,1.608168,0.000000,2.177469,0.000000,1.608168,2.177469,40.964800,26.446281,1.125000,1.125000,0.562500,0.562500,0.166667,10.000000,0.000000,0.000000,0.040109,0.000000
0,6.214510,0.000000,14.865092,0.000000,6.214510,14.865092,96.866667,62.049861,4.066667,2.071429,2.033333,1.035714,0.200000,320.000000,0.000000,0.000000,0.110170,0.000000
0,5.664669,0.000000,14.702672,0.000000,5.664669,14.702672,96.866667,62.049861,4.066667,2.071429,2.033333,1.035714,0.200000,320.000000,0.000000,0.000000,0.110170,0.000000
