chi,dp_norm,coh,stab,rad,size,ratio
0.250000,0.331642,2.190476,2.523488,1.780952,21.000000,0.686567
0.166667,0.044610,1.581395,4.369881,1.820106,28.000000,0.612613
0.200000,0.044610,1.581395,4.369881,1.820106,28.000000,0.612613
0.250000,0.246046,1.594595,3.912068,1.803333,25.000000,0.614583
0.125000,0.035073,1.666667,2.204245,1.761905,15.000000,0.625000
0.214286,0.974442,3.186047,4.676283,1.965861,38.000000,0.761111
0.200000,0.976667,3.132075,5.101340,1.947735,42.000000,0.757991
0.142857,0.975561,2.000000,6.717234,1.476190,7.000000,0.666667
0.142857,0.523931,2.222222,5.870688,1.600000,10.000000,0.689655
0.066667,1.000000,1.466667,4.890121,1.845850,23.000000,0.594595
0.066667,0.321698,2.562500,5.682612,1.638095,15.000000,0.719298
0.111111,0.537819,2.285714,5.550641,1.611111,9.000000,0.695652
0.200000,1.000000,1.466667,4.890121,1.845850,23.000000,0.594595
0.200000,0.539685,3.500000,5.822339,1.300000,5.000000,0.777778
0.083333,0.861984,13.000000,6.349659,2.090909,12.000000,0.928571
0.083333,0.404477,2.666667,5.675386,1.956522,23.000000,0.727273
0.058824,1.000000,9.500000,6.012935,2.382353,17.000000,0.904762
0.058824,0.590376,2.545455,6.663936,1.956522,23.000000,0.717949
0.058824,1.000000,9.500000,6.012935,2.382353,17.000000,0.904762
0.058824,0.404477,2.666667,5.675386,1.956522,23.000000,0.727273
0.250000,0.043478,3.000000,4.650234,1.000000,4.000000,0.750000
0.142857,0.021277,3.500000,6.995882,1.472222,9.000000,0.777778
0.142857,0.052632,3.500000,6.995882,1.472222,9.000000,0.777778
0.071429,0.151470,2.730769,6.534769,1.997151,27.000000,0.731959
0.166667,0.269520,2.666667,5.675386,1.956522,23.000000,0.727273
0.090909,0.291530,2.088235,9.196620,1.977208,27.000000,0.676190
0.222222,0.295740,4.333333,4.984229,1.133333,6.000000,0.812500
0.222222,0.214304,4.333333,4.984229,1.133333,6.000000,0.812500
