pre_px,pre_py,post_px,post_py,pre_p_mag,post_p_mag,pre_mass,post_mass,pre_s_sum,post_s_sum,pre_s_mean,post_s_mean,chi,duration,stability_bin,pre_E_total,post_E_total
4.010137,0.000000,4.220127,0.000000,4.010137,4.220127,101.523265,103.639053,1.181818,2.991250,0.590909,1.495625,0.090909,170.000000,0.000000,0.153791,0.187963
12.352961,0.000000,7.937254,0.000000,12.352961,7.937254,306.964918,165.289880,1.073864,2.735000,0.536932,1.367500,0.090909,170.000000,0.000000,0.401410,0.256898
1.842517,0.000000,1.234982,0.000000,1.842517,1.234982,44.050000,32.250000,1.800000,4.205000,0.900000,2.102500,0.200000,170.000000,0.000000,0.090278,0.122962
4.521438,0.000000,1.678555,0.000000,4.521438,1.678555,105.280000,35.370000,1.625000,3.462500,0.812500,1.731250,0.200000,170.000000,0.000000,0.167855,0.113189
0.062335,0.000000,8.750375,0.000000,7.571675,8.750375,101.469388,210.872893,3.781349,4.008077,1.890675,2.004038,0.142857,190.000000,0.000000,0.110649,0.346674
-3.360443,0.000000,8.745236,0.000000,4.148898,8.745236,101.469388,210.872893,3.781349,4.008077,1.890675,2.004038,0.142857,190.000000,0.000000,0.110649,0.346674
11.056825,0.000000,11.952709,0.000000,11.056825,11.952709,250.930055,271.020833,3.066782,5.150275,1.533391,2.575137,0.083333,20.000000,0.000000,0.373212,0.440968
12.780424,0.000000,5.645845,0.000000,12.780424,5.645845,303.061224,128.490000,1.250000,4.083333,0.625000,2.041667,0.125000,60.000000,0.000000,0.402386,0.240555
6.586500,0.000000,5.041292,0.000000,6.586500,5.041292,160.505669,128.666667,1.464286,4.466667,0.732143,2.233333,0.142857,60.000000,0.000000,0.230793,0.248798
11.733788,0.000000,5.519487,0.000000,11.733788,5.519487,303.061224,128.490000,1.250000,4.083333,0.625000,2.041667,0.125000,60.000000,0.000000,0.400708,0.240555
5.539864,0.000000,4.914935,0.000000,5.539864,4.914935,160.505669,128.666667,1.464286,4.466667,0.732143,2.233333,0.142857,60.000000,0.000000,0.229115,0.248798
18.006201,0.000000,10.924709,0.000000,18.006201,10.924709,427.865932,261.571429,1.240602,5.559967,0.620301,2.779983,0.166667,100.000000,0.000000,0.566253,0.460709
1.667271,0.000000,2.400945,0.000000,1.667271,2.400945,43.359536,61.250000,3.671875,6.009306,1.835938,3.004653,0.166667,40.000000,0.000000,0.127881,0.197659
18.448659,0.000000,12.084558,0.000000,18.448659,12.084558,433.030863,274.000000,1.240602,5.168290,0.620301,2.584145,0.142857,100.000000,0.000000,0.572612,0.466812
9.588662,0.000000,3.955653,0.000000,9.588662,3.955653,237.498310,86.740129,3.254167,9.746836,1.627083,4.873418,0.111111,100.000000,0.000000,0.361935,0.299069
2.745224,0.000000,-1.674288,0.000000,2.745224,3.781653,25.044898,29.000000,20.056936,24.459897,10.028468,12.229948,0.200000,320.000000,10.000000,0.432220,0.525433
